Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 15946),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection15946.csv,JHU cholera database entry with 105 observations. Frequency: Weekly. Updated: 2024-05-13,2000-08-20,2002-08-24,2,JHU
2,WHO AFRO Surveillance Report (UID: 20998),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection20998.csv,JHU cholera database entry with 1 observations. Frequency: Weekly. Updated: 2024-02-09 Source tags: WHOafro,2018-09-29,2018-10-05,1,JHU
3,JHU Cholera Database (UID: 10785),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection10785.csv,JHU cholera database entry with 1 observations. Frequency: Other (91). Updated: 2024-05-13,2008-05-01,2008-07-31,2,JHU
4,JHU Cholera Database (UID: 12563),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection12563.csv,JHU cholera database entry with 1 observations. Frequency: Other (882). Updated: 2024-05-13,2000-08-01,2002-12-31,2,JHU
5,JHU Cholera Database (UID: 11442),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection11442.csv,JHU cholera database entry with 1 observations. Frequency: Other (70). Updated: 2024-05-13,2008-11-15,2009-01-24,2,JHU
6,JHU Cholera Database (UID: 15628),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection15628.csv,JHU cholera database entry with 81 observations. Frequency: Other (57). Updated: 2024-05-13,1980-10-01,1987-07-31,2,JHU
7,WHO AFRO Surveillance Report (UID: 20822),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection20822.csv,JHU cholera database entry with 1 observations. Frequency: Other (4). Updated: 2024-02-09 Source tags: WHOafro,2018-03-06,2018-03-10,1,JHU
8,JHU Cholera Database (UID: 11851),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection11851.csv,JHU cholera database entry with 1 observations. Frequency: Other (395). Updated: 2024-05-13,2000-08-01,2001-08-31,2,JHU
9,JHU Cholera Database (UID: 5093),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection5093.csv,JHU cholera database entry with 9 observations. Frequency: Other (304). Updated: 2024-05-13,2001-08-01,2002-06-01,2,JHU
10,JHU Cholera Database (UID: 21478),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection21478.csv,JHU cholera database entry with 9 observations. Frequency: Other (285). Updated: 2025-05-30,2023-01-01,2024-09-30,2,JHU
11,WHO AFRO Surveillance Report (UID: 21033),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection21033.csv,JHU cholera database entry with 2 observations. Frequency: Other (24). Updated: 2024-02-09 Source tags: WHOafro,2018-09-29,2018-11-16,1,JHU
12,JHU Cholera Database (UID: 12700),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection12700.csv,JHU cholera database entry with 1 observations. Frequency: Other (22). Updated: 2024-05-13,2003-04-26,2003-05-18,2,JHU
13,JHU Cholera Database (UID: 5079),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection5079.csv,JHU cholera database entry with 28 observations. Frequency: Other (215). Updated: 2024-05-13,2000-08-10,2001-09-20,2,JHU
14,JHU Cholera Database (UID: 21415),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection21415.csv,JHU cholera database entry with 13 observations. Frequency: Other (189). Updated: 2025-01-12,2023-01-01,2024-11-24,2,JHU
15,JHU Cholera Database (UID: 13228),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection13228.csv,JHU cholera database entry with 1 observations. Frequency: Other (179). Updated: 2024-05-13,2000-08-01,2001-01-27,2,JHU
16,JHU Cholera Database (UID: 5094),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection5094.csv,JHU cholera database entry with 9 observations. Frequency: Other (166). Updated: 2024-05-13,2008-11-15,2009-04-30,2,JHU
17,JHU Cholera Database (UID: 11481),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection11481.csv,JHU cholera database entry with 1 observations. Frequency: Other (160). Updated: 2024-05-13,2008-08-01,2009-01-08,2,JHU
18,JHU Cholera Database (UID: 12927),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection12927.csv,JHU cholera database entry with 1 observations. Frequency: Other (149). Updated: 2024-05-13,2002-01-01,2002-05-30,2,JHU
19,JHU Cholera Database (UID: 20428),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/South Africa/ObservationCollection20428.csv,JHU cholera database entry with 2 observations. Frequency: Other (147). Updated: 2024-05-13,2008-08-01,2008-12-26,2,JHU
