Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 5012),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection5012.csv,JHU cholera database entry with 1 observations. Frequency: Weekly. Updated: 2024-02-09,2017-03-12,2017-03-18,2,JHU
2,JHU Cholera Database (UID: 20613),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20613.csv,JHU cholera database entry with 1 observations. Frequency: Other (91). Updated: 2024-02-09,2009-10-01,2009-12-31,2,JHU
3,JHU Cholera Database (UID: 829),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection829.csv,JHU cholera database entry with 1 observations. Frequency: Other (9). Updated: 2024-02-09,2013-04-29,2013-05-08,2,JHU
4,WHO AFRO Surveillance Report (UID: 20997),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20997.csv,JHU cholera database entry with 7 observations. Frequency: Other (89). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-07-29,1,JHU
5,WHO AFRO Surveillance Report (UID: 20466),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20466.csv,JHU cholera database entry with 1 observations. Frequency: Other (86). Updated: 2024-02-09 Source tags: WHOafro,2017-01-04,2017-03-31,1,JHU
6,UNICEF Country Programme Report (UID: 5014),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection5014.csv,JHU cholera database entry with 301 observations. Frequency: Other (86). Updated: 2024-05-14 Source tags: UNICEFcp,2017-01-01,2023-04-28,2,JHU
7,WHO AFRO Surveillance Report (UID: 20840),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20840.csv,JHU cholera database entry with 4 observations. Frequency: Other (79). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-03-25,1,JHU
8,JHU Cholera Database (UID: 12040),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection12040.csv,JHU cholera database entry with 1 observations. Frequency: Other (78). Updated: 2024-02-09,2006-02-19,2006-05-08,2,JHU
9,JHU Cholera Database (UID: 828),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection828.csv,JHU cholera database entry with 1 observations. Frequency: Other (7). Updated: 2024-02-09,2013-01-10,2013-01-17,2,JHU
10,WHO AFRO Surveillance Report (UID: 20858),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20858.csv,JHU cholera database entry with 2 observations. Frequency: Other (57). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-04-01,1,JHU
11,JHU Cholera Database (UID: 15008),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection15008.csv,JHU cholera database entry with 3 observations. Frequency: Other (55). Updated: 2024-02-09,1991-12-29,1992-03-21,2,JHU
12,WHO AFRO Surveillance Report (UID: 20850),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20850.csv,JHU cholera database entry with 2 observations. Frequency: Other (50). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-04-01,1,JHU
13,JHU Cholera Database (UID: 20522),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20522.csv,JHU cholera database entry with 1 observations. Frequency: Other (44). Updated: 2024-02-09,2012-09-01,2012-10-15,2,JHU
14,WHO AFRO Surveillance Report (UID: 20912),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20912.csv,JHU cholera database entry with 12 observations. Frequency: Other (43). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-07-02,1,JHU
15,WHO AFRO Surveillance Report (UID: 20756),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20756.csv,JHU cholera database entry with 5 observations. Frequency: Other (355). Updated: 2024-02-09 Source tags: WHOafro,2016-12-13,2017-12-03,1,JHU
16,JHU Cholera Database (UID: 10283),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection10283.csv,JHU cholera database entry with 1 observations. Frequency: Other (321). Updated: 2024-02-09,2006-02-13,2006-12-31,2,JHU
17,WHO AFRO Surveillance Report (UID: 20866),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20866.csv,JHU cholera database entry with 5 observations. Frequency: Other (32). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-04-08,1,JHU
18,WHO AFRO Surveillance Report (UID: 20649),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20649.csv,JHU cholera database entry with 5 observations. Frequency: Other (259). Updated: 2024-02-09 Source tags: WHOafro,2016-12-13,2017-09-08,1,JHU
19,JHU Cholera Database (UID: 15948),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection15948.csv,JHU cholera database entry with 129 observations. Frequency: Other (25). Updated: 2024-02-09,2006-02-13,2012-12-31,2,JHU
20,WHO AFRO Surveillance Report (UID: 21035),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection21035.csv,JHU cholera database entry with 3 observations. Frequency: Other (24). Updated: 2024-02-09 Source tags: WHOafro,2018-10-09,2018-11-12,1,JHU
21,WHO AFRO Surveillance Report (UID: 20627),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20627.csv,JHU cholera database entry with 4 observations. Frequency: Other (222). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01,2017-08-11,1,JHU
22,WHO AFRO Surveillance Report (UID: 20776),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20776.csv,JHU cholera database entry with 6 observations. Frequency: Other (22). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-01-17,1,JHU
23,WHO AFRO Surveillance Report (UID: 20829),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20829.csv,JHU cholera database entry with 5 observations. Frequency: Other (22). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-03-11,1,JHU
24,WHO AFRO Surveillance Report (UID: 20924),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20924.csv,JHU cholera database entry with 4 observations. Frequency: Other (22). Updated: 2024-02-09 Source tags: WHOafro,2018-05-22,2018-07-08,1,JHU
25,WHO AFRO Surveillance Report (UID: 20706),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20706.csv,JHU cholera database entry with 9 observations. Frequency: Other (218). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01,2017-10-22,1,JHU
26,WHO AFRO Surveillance Report (UID: 20787),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20787.csv,JHU cholera database entry with 2 observations. Frequency: Other (21). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-01-27,1,JHU
27,WHO AFRO Surveillance Report (UID: 20516),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20516.csv,JHU cholera database entry with 1 observations. Frequency: Other (192). Updated: 2024-02-09 Source tags: WHOafro,2016-12-13,2017-06-23,1,JHU
28,WHO AFRO Surveillance Report (UID: 20512),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20512.csv,JHU cholera database entry with 1 observations. Frequency: Other (185). Updated: 2024-02-09 Source tags: WHOafro,2016-12-13,2017-06-16,1,JHU
29,WHO AFRO Surveillance Report (UID: 20783),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20783.csv,JHU cholera database entry with 2 observations. Frequency: Other (18). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-01-20,1,JHU
