iso,source_index,source,url,status_code,status_category,redirect_url,response_time_s,error
BWA,5,Botswana Daily News Cholera Prevention Commitment 2024,https://dailynews.gov.bw/news-detail/77610,404,NOT_FOUND,,1.73,
CMR,1,Africa CDC Weekly Epidemiological Brief,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-august-2023/,,CONNECTION_ERROR,,,"HTTPSConnectionPool(host='africacdc.org', port=443): Max retries exceeded with url: /download/africa-cdc-weekly-event-ba"
GHA,21,GHS Ghana Health Service Initial Cholera Report October 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Ghana-Health-Service-confirms-nine-cholera-cases-in-Greater-Accra-Region-1955373,404,NOT_FOUND,,2.53,
GNQ,5,American Journal Tropical Medicine EM-DAT Cholera Study,https://www.ajtmh.org/view/journals/tpmd/106/4/article-p1071.xml,404,NOT_FOUND,,1.88,
LBR,6,Knoema Liberia Cholera Data 2002-2011,https://knoema.com/atlas/Liberia/topics/Health/Communicable-Diseases/Cholera-cases,530,SERVER_ERROR,,1.11,
NGA,7,NCDC Cholera Situation Reports,https://ncdc.gov.ng/diseases/sitreps/?cat=7&name=An+update+of+Cholera+outbreak+in+Nigeria,,CONNECTION_ERROR,,,"HTTPSConnectionPool(host='ncdc.gov.ng', port=443): Max retries exceeded with url: /diseases/sitreps/?cat=7&name=An+updat"
SLE,11,Kanu JS et al. - Sierra Leone Cholera Surveillance Post-Ebola Strengthening,https://www.ncbi.nlm.nih.gov/pmc/articles/post-ebola-surveillance,404,NOT_FOUND,https://pmc.ncbi.nlm.nih.gov/articles/post-ebola-surveillance,1.38,
SLE,14,Sierra Leone Civil War Health System Analysis - Academic Documentation,https://www.ncbi.nlm.nih.gov/pmc/articles/civil-war-health,404,NOT_FOUND,https://pmc.ncbi.nlm.nih.gov/articles/civil-war-health,0.67,
SWZ,3,Africa CDC Weekly Event Based Surveillance Report July 2023,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-july-2023/,,CONNECTION_ERROR,,,"HTTPSConnectionPool(host='africacdc.org', port=443): Max retries exceeded with url: /download/africa-cdc-weekly-event-ba"
ZAF,31,NICD March 2009 Cholera Update South Africa,https://www.nicd.ac.za/assets/files/NICDCommMar09Vol08_03.pdf,,SSL_ERROR,,,"HTTPSConnectionPool(host='www.nicd.ac.za', port=443): Max retries exceeded with url: /assets/files/NICDCommMar09Vol08_03"
ZMB,10,Zambia MoH Press Statement Cholera Mpox December 2024,https://www.moh.gov.zm/?p=4152,,SSL_ERROR,,,"HTTPSConnectionPool(host='www.moh.gov.zm', port=443): Max retries exceeded with url: /?p=4152 (Caused by SSLError(SSLCer"
ZMB,19,Africa CDC Weekly Event-Based Surveillance July 2023,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-july-2023/,,CONNECTION_ERROR,,,"HTTPSConnectionPool(host='africacdc.org', port=443): Max retries exceeded with url: /download/africa-cdc-weekly-event-ba"
