country,iso_code,latest_observation,days_stale,latest_positive_observation,observations
Senegal,SEN,,,,0
Eritrea,ERI,2023-12-31,993,2008-12-31,16
Benin,BEN,2024-12-31,627,2024-09-29,14980
Burkina Faso,BFA,2024-12-31,627,2022-12-31,19050
Botswana,BWA,2024-12-31,627,2009-12-31,20
Gabon,GAB,2024-12-31,627,2008-12-31,19
Guinea,GIN,2024-12-31,627,2018-11-25,4816
Gambia,GMB,2024-12-31,627,2021-12-31,16
Guinea-Bissau,GNB,2024-12-31,627,2014-12-31,7714
Equatorial Guinea,GNQ,2024-12-31,627,2005-12-31,19
Liberia,LBR,2024-12-31,627,2024-12-31,3585
Mali,MLI,2024-12-31,627,2021-12-31,13198
Mauritania,MRT,2024-12-31,627,2011-12-31,183
Sierra Leone,SLE,2024-12-31,627,2018-06-17,58964
Eswatini,SWZ,2024-12-31,627,2023-12-31,54
Niger,NER,2025-01-19,608,2024-12-31,5623
Togo,TGO,2025-03-23,545,2025-03-09,4883
Uganda,UGA,2025-03-30,538,2025-03-30,8795
Ghana,GHA,2025-05-04,503,2025-05-04,697
Kenya,KEN,2025-06-01,475,2025-06-01,1047
Côte d'Ivoire,CIV,2025-08-17,398,2025-08-17,1084
Somalia,SOM,2026-01-11,251,2026-01-11,895
Tanzania,TZA,2026-01-18,244,2026-01-11,2149
Ethiopia,ETH,2026-03-01,202,2026-03-01,751
Zimbabwe,ZWE,2026-03-08,195,2026-03-08,1127
Namibia,NAM,2026-04-12,160,2026-03-22,83
Rwanda,RWA,2026-04-26,146,2026-04-26,59
Congo,COG,2026-05-03,139,2026-05-03,11515
Malawi,MWI,2026-05-03,139,2026-05-03,2042
Zambia,ZMB,2026-05-03,139,2026-05-03,2159
Angola,AGO,2026-05-10,132,2026-05-10,654
Democratic Republic of Congo,COD,2026-05-10,132,2026-05-10,14480
Nigeria,NGA,2026-05-10,132,2026-05-10,75920
Burundi,BDI,2026-05-17,125,2026-05-17,34583
Mozambique,MOZ,2026-05-17,125,2026-05-17,782
South Sudan,SSD,2026-05-17,125,2026-05-17,1109
South Africa,ZAF,2026-07-12,69,2026-07-12,423
Central African Republic,CAF,2026-07-26,55,2026-07-26,17168
Cameroon,CMR,2026-08-16,34,2026-08-16,193706
Chad,TCD,2026-08-16,34,2026-08-16,4841
