country,iso_code,gap_start,gap_end,days,months,years,era
Angola,AGO,1970-01-01,1970-12-31,365,12,1.0,historical
Angola,AGO,1976-01-01,1976-12-31,366,12,1.0,historical
Angola,AGO,1978-01-01,1986-12-31,3287,108,9.0,historical
Angola,AGO,2026-05-01,2026-09-19,142,5,0.39,recent
Burundi,BDI,2026-06-01,2026-09-19,111,4,0.3,recent
Benin,BEN,1979-01-01,1979-12-31,365,12,1.0,historical
Benin,BEN,1985-01-01,1985-12-31,365,12,1.0,historical
Benin,BEN,1987-01-01,1990-12-31,1461,48,4.0,historical
Benin,BEN,2007-01-01,2007-12-31,365,12,1.0,modern
Benin,BEN,2025-01-01,2025-07-31,212,7,0.58,recent
Benin,BEN,2025-11-01,2026-09-19,323,11,0.88,recent
Burkina Faso,BFA,2026-07-01,2026-09-19,81,3,0.22,recent
Botswana,BWA,1970-01-01,2004-12-31,12784,420,35.0,modern
Botswana,BWA,2007-01-01,2007-12-31,365,12,1.0,modern
Botswana,BWA,2010-01-01,2010-12-31,365,12,1.0,modern
Botswana,BWA,2022-01-01,2022-12-31,365,12,1.0,modern
Botswana,BWA,2026-07-01,2026-09-19,81,3,0.22,recent
Central African Republic,CAF,1970-01-01,1996-12-31,9862,324,27.0,historical
Central African Republic,CAF,2013-01-01,2013-12-31,365,12,1.0,modern
Central African Republic,CAF,2014-12-01,2014-12-31,31,1,0.08,modern
Central African Republic,CAF,2026-08-01,2026-09-19,50,2,0.14,recent
Côte d'Ivoire,CIV,1972-01-01,1978-12-31,2557,84,7.0,historical
Côte d'Ivoire,CIV,1980-01-01,1981-12-31,731,24,2.0,historical
Côte d'Ivoire,CIV,1983-01-01,1990-12-31,2922,96,8.0,historical
Côte d'Ivoire,CIV,1997-01-01,2000-12-31,1461,48,4.0,modern
Côte d'Ivoire,CIV,2019-11-01,2019-12-31,61,2,0.17,modern
Côte d'Ivoire,CIV,2020-03-01,2020-12-31,306,10,0.84,modern
Côte d'Ivoire,CIV,2026-05-01,2026-09-19,142,5,0.39,recent
Cameroon,CMR,1970-01-01,1970-12-31,365,12,1.0,historical
Cameroon,CMR,1977-01-01,1977-12-31,365,12,1.0,historical
Cameroon,CMR,2026-09-01,2026-09-19,19,1,0.05,recent
Democratic Republic of Congo,COD,1973-01-01,1977-12-31,1826,60,5.0,historical
Democratic Republic of Congo,COD,2026-06-01,2026-09-19,111,4,0.3,recent
Congo,COG,1970-01-01,1977-12-31,2922,96,8.0,historical
Congo,COG,1980-01-01,1996-12-31,6210,204,17.0,historical
Congo,COG,2014-12-01,2014-12-31,31,1,0.08,modern
Congo,COG,2026-05-01,2026-09-19,142,5,0.39,recent
Eritrea,ERI,1971-01-01,1996-12-31,9497,312,26.0,historical
Eritrea,ERI,1998-01-01,2000-05-31,882,29,2.41,modern
Eritrea,ERI,2001-01-01,2004-12-31,1461,48,4.0,modern
Eritrea,ERI,2009-01-01,2010-12-31,730,24,2.0,modern
Eritrea,ERI,2022-01-01,2022-12-31,365,12,1.0,modern
Eritrea,ERI,2024-01-01,2026-09-19,993,33,2.72,recent
Ethiopia,ETH,1998-01-01,1998-12-31,365,12,1.0,historical
Ethiopia,ETH,2026-03-01,2026-09-19,203,7,0.56,recent
Gabon,GAB,2026-06-01,2026-09-19,111,4,0.3,recent
Ghana,GHA,1986-01-01,1989-12-31,1461,48,4.0,historical
Ghana,GHA,2025-05-01,2026-09-19,507,17,1.39,recent
Guinea,GIN,1971-01-01,1985-12-31,5479,180,15.0,historical
Guinea,GIN,1987-01-01,1993-12-31,2557,84,7.0,historical
Guinea,GIN,1997-01-01,1997-12-31,365,12,1.0,historical
Guinea,GIN,2026-07-01,2026-09-19,81,3,0.22,recent
Gambia,GMB,1970-01-01,1984-12-31,5479,180,15.0,historical
Gambia,GMB,1986-01-01,1993-12-31,2922,96,8.0,historical
Gambia,GMB,1997-01-01,2004-12-31,2922,96,8.0,modern
Gambia,GMB,2026-07-01,2026-09-19,81,3,0.22,recent
Guinea-Bissau,GNB,1970-01-01,1985-12-31,5844,192,16.0,historical
Guinea-Bissau,GNB,1988-01-01,1993-12-31,2192,72,6.0,historical
Guinea-Bissau,GNB,1999-01-01,2001-12-31,1096,36,3.0,modern
Guinea-Bissau,GNB,2026-07-01,2026-09-19,81,3,0.22,recent
Equatorial Guinea,GNQ,1970-01-01,1979-12-31,3652,120,10.0,historical
Equatorial Guinea,GNQ,2026-06-01,2026-09-19,111,4,0.3,recent
Kenya,KEN,1970-01-01,1970-12-31,365,12,1.0,historical
Kenya,KEN,1973-01-01,1973-12-31,365,12,1.0,historical
Kenya,KEN,1988-01-01,1988-12-31,366,12,1.0,historical
Kenya,KEN,1990-01-01,1991-12-31,730,24,2.0,historical
Kenya,KEN,1993-01-01,1993-12-31,365,12,1.0,historical
Kenya,KEN,2012-04-01,2012-08-31,153,5,0.42,modern
Kenya,KEN,2012-12-01,2013-12-31,396,13,1.08,modern
Kenya,KEN,2025-06-01,2026-09-19,476,16,1.3,recent
Liberia,LBR,1990-01-01,1990-12-31,365,12,1.0,historical
Liberia,LBR,1992-01-01,1993-12-31,731,24,2.0,historical
Liberia,LBR,2026-06-01,2026-09-19,111,4,0.3,recent
Mali,MLI,1975-01-01,1983-12-31,3287,108,9.0,historical
Mali,MLI,2016-12-01,2016-12-31,31,1,0.08,modern
Mali,MLI,2026-06-01,2026-09-19,111,4,0.3,recent
Mozambique,MOZ,2026-06-01,2026-09-19,111,4,0.3,recent
Mauritania,MRT,1970-01-01,1970-12-31,365,12,1.0,historical
Mauritania,MRT,1974-01-01,1983-12-31,3652,120,10.0,historical
Mauritania,MRT,1990-01-01,1995-12-31,2191,72,6.0,historical
Mauritania,MRT,1998-01-01,2001-12-31,1461,48,4.0,modern
Mauritania,MRT,2004-01-01,2004-12-31,366,12,1.0,modern
Mauritania,MRT,2026-05-01,2026-09-19,142,5,0.39,recent
Malawi,MWI,1970-01-01,1972-12-31,1096,36,3.0,historical
Malawi,MWI,1974-01-01,1974-12-31,365,12,1.0,historical
Malawi,MWI,2026-05-01,2026-09-19,142,5,0.39,recent
Namibia,NAM,1970-01-01,2004-12-31,12784,420,35.0,modern
Namibia,NAM,2025-01-01,2025-02-28,59,2,0.16,recent
Namibia,NAM,2026-05-01,2026-09-19,142,5,0.39,recent
Niger,NER,1975-01-01,1980-12-31,2192,72,6.0,historical
Niger,NER,1982-01-01,1983-12-31,730,24,2.0,historical
Niger,NER,1985-01-01,1987-12-31,1095,36,3.0,historical
Niger,NER,1990-01-01,1990-12-31,365,12,1.0,historical
Niger,NER,1992-01-01,1993-12-31,731,24,2.0,historical
Niger,NER,2026-08-01,2026-09-19,50,2,0.14,recent
Nigeria,NGA,1974-01-01,1974-12-31,365,12,1.0,historical
Nigeria,NGA,1990-01-01,1990-12-31,365,12,1.0,historical
Nigeria,NGA,2026-05-01,2026-09-19,142,5,0.39,recent
Rwanda,RWA,1970-01-01,1998-04-30,10347,340,28.33,historical
Rwanda,RWA,1998-11-01,2017-12-31,7001,230,19.17,modern
Rwanda,RWA,2026-05-01,2026-09-19,142,5,0.39,recent
Senegal,SEN,1970-01-01,1971-12-31,730,24,2.0,historical
Senegal,SEN,1995-01-01,1995-07-31,212,7,0.58,historical
Senegal,SEN,2007-01-01,2007-07-31,212,7,0.58,modern
Senegal,SEN,2007-10-01,2007-12-31,92,3,0.25,modern
Senegal,SEN,2026-07-01,2026-09-19,81,3,0.22,recent
Sierra Leone,SLE,1972-01-01,1976-12-31,1827,60,5.0,historical
Sierra Leone,SLE,1979-01-01,1985-12-31,2557,84,7.0,historical
Sierra Leone,SLE,1988-01-01,1993-12-31,2192,72,6.0,historical
Sierra Leone,SLE,2010-01-01,2010-12-31,365,12,1.0,modern
Sierra Leone,SLE,2026-06-01,2026-09-19,111,4,0.3,recent
Somalia,SOM,1972-01-01,1984-12-31,4749,156,13.0,historical
Somalia,SOM,1987-01-01,1993-12-31,2557,84,7.0,historical
Somalia,SOM,2005-01-01,2006-12-31,730,24,2.0,modern
Somalia,SOM,2026-05-01,2026-09-19,142,5,0.39,recent
South Sudan,SSD,2005-02-01,2006-01-31,365,12,1.0,modern
South Sudan,SSD,2026-06-01,2026-09-19,111,4,0.3,recent
Eswatini,SWZ,1970-01-01,1977-12-31,2922,96,8.0,historical
Eswatini,SWZ,1979-01-01,1980-12-31,731,24,2.0,historical
Eswatini,SWZ,1983-01-01,1991-12-31,3287,108,9.0,historical
Eswatini,SWZ,1993-01-01,1995-12-31,1095,36,3.0,historical
Eswatini,SWZ,1997-01-01,1997-12-31,365,12,1.0,historical
Eswatini,SWZ,2017-10-01,2017-12-31,92,3,0.25,modern
Eswatini,SWZ,2026-06-01,2026-09-19,111,4,0.3,recent
Chad,TCD,1970-01-01,1970-12-31,365,12,1.0,historical
Chad,TCD,1973-01-01,1973-12-31,365,12,1.0,historical
Chad,TCD,1975-01-01,1990-12-31,5844,192,16.0,historical
Chad,TCD,1992-01-01,1993-12-31,731,24,2.0,historical
Chad,TCD,1995-01-01,1995-12-31,365,12,1.0,historical
Chad,TCD,2000-01-01,2000-12-31,366,12,1.0,modern
Chad,TCD,2002-01-01,2002-12-31,365,12,1.0,modern
Chad,TCD,2008-01-01,2008-12-31,366,12,1.0,modern
Chad,TCD,2012-01-01,2013-12-31,731,24,2.0,modern
Chad,TCD,2014-12-01,2014-12-31,31,1,0.08,modern
Chad,TCD,2025-01-01,2025-06-30,181,6,0.5,recent
Chad,TCD,2026-09-01,2026-09-19,19,1,0.05,recent
Togo,TGO,2026-09-01,2026-09-19,19,1,0.05,recent
Tanzania,TZA,1970-01-01,1973-12-31,1461,48,4.0,historical
Tanzania,TZA,1975-01-01,1976-12-31,731,24,2.0,historical
Tanzania,TZA,2014-01-01,2014-12-31,365,12,1.0,modern
Tanzania,TZA,2026-05-01,2026-09-19,142,5,0.39,recent
Uganda,UGA,1972-01-01,1974-12-31,1096,36,3.0,historical
Uganda,UGA,1976-01-01,1977-12-31,731,24,2.0,historical
Uganda,UGA,1981-01-01,1981-12-31,365,12,1.0,historical
Uganda,UGA,1983-01-01,1986-12-31,1461,48,4.0,historical
Uganda,UGA,1988-01-01,1990-12-31,1096,36,3.0,historical
Uganda,UGA,1993-01-01,1993-12-31,365,12,1.0,historical
Uganda,UGA,2025-04-01,2026-09-19,537,18,1.47,recent
South Africa,ZAF,2018-01-01,2018-09-30,273,9,0.75,modern
South Africa,ZAF,2018-12-01,2018-12-31,31,1,0.08,modern
South Africa,ZAF,2026-07-01,2026-09-19,81,3,0.22,recent
Zambia,ZMB,2026-05-01,2026-09-19,142,5,0.39,recent
Zimbabwe,ZWE,1970-01-01,1972-12-31,1096,36,3.0,historical
Zimbabwe,ZWE,2026-03-01,2026-09-19,203,7,0.56,recent
