country,iso_code,gap_start,gap_end,gap_months,priority,coverage_pct
Congo,COG,1970-01,2025-08,668,HIGH,0.0
Rwanda,RWA,1970-01,2025-08,668,HIGH,0.0
Senegal,SEN,1970-01,2025-08,668,HIGH,0.0
Eswatini,SWZ,1970-01,2025-08,668,HIGH,0.0
Malawi,MWI,1970-01,2022-12,636,HIGH,4.191616766467066
Malawi,MWI,2025-05,2025-08,4,HIGH,4.191616766467066
Gambia,GMB,1970-01,1984-12,180,HIGH,26.94610778443114
Gambia,GMB,1986-01,1993-12,96,HIGH,26.94610778443114
Gambia,GMB,1997-01,2004-12,96,HIGH,26.94610778443114
Gambia,GMB,2009-01,2010-12,24,HIGH,26.94610778443114
Gambia,GMB,2016-01,2020-12,60,HIGH,26.94610778443114
Gambia,GMB,2022-01,2022-12,12,HIGH,26.94610778443114
Gambia,GMB,2024-01,2025-08,20,HIGH,26.94610778443114
South Sudan,SSD,1970-01,2005-12,432,HIGH,27.54491017964072
South Sudan,SSD,2006-04,2006-12,9,HIGH,27.54491017964072
South Sudan,SSD,2007-07,2010-04,34,HIGH,27.54491017964072
South Sudan,SSD,2010-06,2010-12,7,HIGH,27.54491017964072
South Sudan,SSD,2025-07,2025-08,2,HIGH,27.54491017964072
Botswana,BWA,1970-01,2004-12,420,HIGH,28.74251497005988
Botswana,BWA,2007-01,2007-12,12,HIGH,28.74251497005988
Botswana,BWA,2010-01,2010-12,12,HIGH,28.74251497005988
Botswana,BWA,2022-01,2022-12,12,HIGH,28.74251497005988
Botswana,BWA,2024-01,2025-08,20,HIGH,28.74251497005988
Eritrea,ERI,1970-01,2004-12,420,HIGH,28.74251497005988
Eritrea,ERI,2009-01,2010-12,24,HIGH,28.74251497005988
Eritrea,ERI,2022-01,2022-12,12,HIGH,28.74251497005988
Eritrea,ERI,2024-01,2025-08,20,HIGH,28.74251497005988
Equatorial Guinea,GNQ,1970-01,1983-12,168,HIGH,28.74251497005988
Equatorial Guinea,GNQ,1986-01,2003-12,216,HIGH,28.74251497005988
Equatorial Guinea,GNQ,2007-01,2010-12,48,HIGH,28.74251497005988
Equatorial Guinea,GNQ,2022-01,2025-08,44,HIGH,28.74251497005988
Namibia,NAM,1970-01,2004-12,420,HIGH,30.83832335329341
