country,iso_code,gap_start,gap_end,gap_months,priority,coverage_pct
Namibia,NAM,2010-01,2010-12,12,HIGH,30.83832335329341
Namibia,NAM,2022-01,2022-12,12,HIGH,30.83832335329341
Namibia,NAM,2024-02,2025-02,13,HIGH,30.83832335329341
Namibia,NAM,2025-04,2025-08,5,HIGH,30.83832335329341
Central African Republic,CAF,1970-01,1996-12,324,HIGH,31.137724550898206
Central African Republic,CAF,1999-01,2003-12,60,HIGH,31.137724550898206
Central African Republic,CAF,2007-01,2010-12,48,HIGH,31.137724550898206
Central African Republic,CAF,2013-01,2013-11,11,HIGH,31.137724550898206
Central African Republic,CAF,2024-04,2025-08,17,HIGH,31.137724550898206
Gabon,GAB,1970-01,1978-12,108,HIGH,32.33532934131736
Gabon,GAB,1980-01,1980-12,12,HIGH,32.33532934131736
Gabon,GAB,1982-01,2001-12,240,HIGH,32.33532934131736
Gabon,GAB,2004-01,2004-12,12,HIGH,32.33532934131736
Gabon,GAB,2007-01,2007-12,12,HIGH,32.33532934131736
Gabon,GAB,2009-01,2010-12,24,HIGH,32.33532934131736
Gabon,GAB,2022-01,2025-08,44,HIGH,32.33532934131736
Ethiopia,ETH,1972-01,1981-12,120,HIGH,44.01197604790419
Ethiopia,ETH,1983-01,2003-12,252,HIGH,44.01197604790419
Ethiopia,ETH,2025-07,2025-08,2,HIGH,44.01197604790419
Guinea-Bissau,GNB,1970-01,1985-12,192,HIGH,49.25149700598803
Guinea-Bissau,GNB,1988-01,1993-12,72,HIGH,49.25149700598803
Guinea-Bissau,GNB,1999-01,2001-12,36,HIGH,49.25149700598803
Guinea-Bissau,GNB,2010-01,2011-12,24,HIGH,49.25149700598803
Guinea-Bissau,GNB,2016-12,2016-12,1,HIGH,49.25149700598803
Guinea-Bissau,GNB,2019-09,2019-11,3,HIGH,49.25149700598803
Guinea-Bissau,GNB,2024-10,2025-08,11,HIGH,49.25149700598803
Chad,TCD,1970-01,1970-12,12,HIGH,50.44910179640718
Chad,TCD,1973-01,1973-12,12,HIGH,50.44910179640718
Chad,TCD,1975-01,1990-12,192,HIGH,50.44910179640718
Chad,TCD,1992-01,1993-12,24,HIGH,50.44910179640718
Chad,TCD,1995-01,1995-12,12,HIGH,50.44910179640718
Chad,TCD,2000-01,2000-12,12,HIGH,50.44910179640718
Chad,TCD,2002-01,2002-12,12,HIGH,50.44910179640718
Chad,TCD,2008-01,2008-12,12,HIGH,50.44910179640718
Chad,TCD,2012-01,2013-11,23,HIGH,50.44910179640718
Chad,TCD,2024-01,2025-08,20,HIGH,50.44910179640718
Mauritania,MRT,1970-01,1970-12,12,HIGH,52.09580838323353
Mauritania,MRT,1974-01,1983-12,120,HIGH,52.09580838323353
Mauritania,MRT,1990-01,1995-12,72,HIGH,52.09580838323353
Mauritania,MRT,1998-01,2001-12,48,HIGH,52.09580838323353
Mauritania,MRT,2004-01,2004-12,12,HIGH,52.09580838323353
Mauritania,MRT,2008-01,2010-12,36,HIGH,52.09580838323353
Mauritania,MRT,2024-01,2025-08,20,HIGH,52.09580838323353
Guinea,GIN,1971-01,1985-12,180,HIGH,55.23952095808383
Guinea,GIN,1987-01,1993-12,84,HIGH,55.23952095808383
Guinea,GIN,1997-01,1997-12,12,HIGH,55.23952095808383
Guinea,GIN,2010-01,2010-12,12,HIGH,55.23952095808383
Guinea,GIN,2024-10,2025-08,11,HIGH,55.23952095808383
Burkina Faso,BFA,1976-01,1977-12,24,HIGH,58.08383233532935
Burkina Faso,BFA,1979-01,1983-12,60,HIGH,58.08383233532935
Burkina Faso,BFA,1986-01,1990-12,60,HIGH,58.08383233532935
Burkina Faso,BFA,1992-01,1994-12,36,HIGH,58.08383233532935
Burkina Faso,BFA,1997-01,1997-12,12,HIGH,58.08383233532935
Burkina Faso,BFA,2002-01,2002-12,12,HIGH,58.08383233532935
Burkina Faso,BFA,2004-01,2004-12,12,HIGH,58.08383233532935
Burkina Faso,BFA,2007-01,2007-12,12,HIGH,58.08383233532935
Burkina Faso,BFA,2009-01,2010-12,24,HIGH,58.08383233532935
Burkina Faso,BFA,2013-01,2013-11,11,HIGH,58.08383233532935
Burkina Faso,BFA,2024-04,2025-08,17,HIGH,58.08383233532935
Côte d'Ivoire,CIV,1972-01,1978-12,84,HIGH,58.23353293413174
Côte d'Ivoire,CIV,1980-01,1981-12,24,HIGH,58.23353293413174
Côte d'Ivoire,CIV,1983-01,1990-12,96,HIGH,58.23353293413174
Côte d'Ivoire,CIV,1997-01,2000-12,48,HIGH,58.23353293413174
Côte d'Ivoire,CIV,2020-03,2020-12,10,HIGH,58.23353293413174
Côte d'Ivoire,CIV,2024-04,2025-08,17,HIGH,58.23353293413174
Sierra Leone,SLE,1972-01,1976-12,60,HIGH,59.73053892215569
Sierra Leone,SLE,1979-01,1985-12,84,HIGH,59.73053892215569
Sierra Leone,SLE,1988-01,1993-12,72,HIGH,59.73053892215569
Sierra Leone,SLE,1997-01,1997-12,12,HIGH,59.73053892215569
Sierra Leone,SLE,2010-01,2010-12,12,HIGH,59.73053892215569
Sierra Leone,SLE,2014-01,2014-11,11,HIGH,59.73053892215569
Sierra Leone,SLE,2018-11,2018-11,1,HIGH,59.73053892215569
Sierra Leone,SLE,2024-04,2025-08,17,HIGH,59.73053892215569
Somalia,SOM,1972-01,1984-12,156,HIGH,60.17964071856288
Somalia,SOM,1987-01,1993-12,84,HIGH,60.17964071856288
Somalia,SOM,2005-01,2006-12,24,HIGH,60.17964071856288
Somalia,SOM,2025-07,2025-08,2,HIGH,60.17964071856288
Angola,AGO,1970-01,1970-12,12,HIGH,60.62874251497006
Angola,AGO,1976-01,1976-12,12,HIGH,60.62874251497006
Angola,AGO,1978-01,1986-12,108,HIGH,60.62874251497006
Angola,AGO,1993-01,1993-12,12,HIGH,60.62874251497006
Angola,AGO,1997-01,2004-12,96,HIGH,60.62874251497006
Angola,AGO,2023-03,2023-03,1,HIGH,60.62874251497006
Angola,AGO,2023-05,2024-12,20,HIGH,60.62874251497006
Angola,AGO,2025-07,2025-08,2,HIGH,60.62874251497006
Mali,MLI,1975-01,1983-12,108,HIGH,61.07784431137725
Mali,MLI,1988-01,1994-12,84,HIGH,61.07784431137725
Mali,MLI,1998-01,1998-12,12,HIGH,61.07784431137725
Mali,MLI,2007-01,2007-12,12,HIGH,61.07784431137725
Mali,MLI,2009-01,2010-12,24,HIGH,61.07784431137725
Mali,MLI,2024-01,2025-08,20,HIGH,61.07784431137725
Niger,NER,1975-01,1980-12,72,HIGH,66.01796407185628
Niger,NER,1982-01,1983-12,24,HIGH,66.01796407185628
Niger,NER,1985-01,1988-12,48,HIGH,66.01796407185628
Niger,NER,1990-01,1990-12,12,HIGH,66.01796407185628
Niger,NER,1992-01,1993-12,24,HIGH,66.01796407185628
Niger,NER,1998-01,1998-12,12,HIGH,66.01796407185628
Niger,NER,2009-01,2009-12,12,HIGH,66.01796407185628
Niger,NER,2022-01,2022-12,12,HIGH,66.01796407185628
Niger,NER,2024-10,2025-08,11,HIGH,66.01796407185628
Liberia,LBR,1990-01,1990-12,12,LOW,92.06586826347305
Liberia,LBR,1992-01,1993-12,24,LOW,92.06586826347305
Liberia,LBR,2024-04,2025-08,17,LOW,92.06586826347305
Ghana,GHA,1986-01,1989-12,48,LOW,92.36526946107784
Ghana,GHA,2025-06,2025-08,3,LOW,92.36526946107784
Cameroon,CMR,1970-01,1970-12,12,LOW,95.05988023952095
Cameroon,CMR,1977-01,1977-12,12,LOW,95.05988023952095
Cameroon,CMR,2024-12,2025-08,9,LOW,95.05988023952095
Nigeria,NGA,1974-01,1974-12,12,LOW,95.95808383233533
Nigeria,NGA,1990-01,1990-12,12,LOW,95.95808383233533
Nigeria,NGA,2025-06,2025-08,3,LOW,95.95808383233533
South Africa,ZAF,1970-01,1972-12,36,MEDIUM,70.50898203592814
South Africa,ZAF,1975-01,1978-12,48,MEDIUM,70.50898203592814
South Africa,ZAF,1988-01,1990-12,36,MEDIUM,70.50898203592814
South Africa,ZAF,1995-01,1997-12,36,MEDIUM,70.50898203592814
South Africa,ZAF,2007-01,2007-12,12,MEDIUM,70.50898203592814
South Africa,ZAF,2010-01,2010-12,12,MEDIUM,70.50898203592814
South Africa,ZAF,2018-01,2018-02,2,MEDIUM,70.50898203592814
South Africa,ZAF,2018-04,2018-08,5,MEDIUM,70.50898203592814
South Africa,ZAF,2018-12,2018-12,1,MEDIUM,70.50898203592814
South Africa,ZAF,2024-12,2025-08,9,MEDIUM,70.50898203592814
Uganda,UGA,1970-01,1970-12,12,MEDIUM,70.65868263473054
Uganda,UGA,1972-01,1974-12,36,MEDIUM,70.65868263473054
Uganda,UGA,1976-01,1977-12,24,MEDIUM,70.65868263473054
Uganda,UGA,1981-01,1981-12,12,MEDIUM,70.65868263473054
Uganda,UGA,1983-01,1986-12,48,MEDIUM,70.65868263473054
Uganda,UGA,1988-01,1990-12,36,MEDIUM,70.65868263473054
Uganda,UGA,1993-01,1993-12,12,MEDIUM,70.65868263473054
Uganda,UGA,2021-02,2021-12,11,MEDIUM,70.65868263473054
Uganda,UGA,2025-04,2025-08,5,MEDIUM,70.65868263473054
Zimbabwe,ZWE,1970-01,1972-12,36,MEDIUM,70.95808383233533
Zimbabwe,ZWE,1977-01,1984-12,96,MEDIUM,70.95808383233533
Zimbabwe,ZWE,1987-01,1991-12,60,MEDIUM,70.95808383233533
Zimbabwe,ZWE,2025-07,2025-08,2,MEDIUM,70.95808383233533
Togo,TGO,1973-01,1973-12,12,MEDIUM,74.10179640718563
Togo,TGO,1975-01,1976-12,24,MEDIUM,74.10179640718563
Togo,TGO,1979-01,1987-12,108,MEDIUM,74.10179640718563
Togo,TGO,1989-01,1990-12,24,MEDIUM,74.10179640718563
Togo,TGO,2025-04,2025-08,5,MEDIUM,74.10179640718563
Burundi,BDI,1970-01,1977-12,96,MEDIUM,77.9940119760479
Burundi,BDI,1986-01,1989-12,48,MEDIUM,77.9940119760479
Burundi,BDI,2025-06,2025-08,3,MEDIUM,77.9940119760479
Benin,BEN,1979-01,1979-12,12,MEDIUM,84.88023952095809
Benin,BEN,1985-01,1985-12,12,MEDIUM,84.88023952095809
Benin,BEN,1987-01,1990-12,48,MEDIUM,84.88023952095809
Benin,BEN,2007-01,2007-12,12,MEDIUM,84.88023952095809
Benin,BEN,2024-04,2025-08,17,MEDIUM,84.88023952095809
Democratic Republic of Congo,COD,1970-01,1977-12,96,MEDIUM,85.17964071856288
Democratic Republic of Congo,COD,2025-06,2025-08,3,MEDIUM,85.17964071856288
Kenya,KEN,1970-01,1970-12,12,MEDIUM,86.37724550898204
Kenya,KEN,1973-01,1973-12,12,MEDIUM,86.37724550898204
Kenya,KEN,1988-01,1988-12,12,MEDIUM,86.37724550898204
Kenya,KEN,1990-01,1991-12,24,MEDIUM,86.37724550898204
Kenya,KEN,1993-01,1993-12,12,MEDIUM,86.37724550898204
Kenya,KEN,2012-04,2012-08,5,MEDIUM,86.37724550898204
Kenya,KEN,2012-12,2013-04,5,MEDIUM,86.37724550898204
Kenya,KEN,2013-06,2013-12,7,MEDIUM,86.37724550898204
Kenya,KEN,2025-07,2025-08,2,MEDIUM,86.37724550898204
Zambia,ZMB,1970-01,1976-12,84,MEDIUM,86.97604790419162
Zambia,ZMB,2025-06,2025-08,3,MEDIUM,86.97604790419162
Mozambique,MOZ,1970-01,1972-12,36,MEDIUM,87.12574850299401
Mozambique,MOZ,1978-01,1978-12,12,MEDIUM,87.12574850299401
Mozambique,MOZ,1987-01,1988-12,24,MEDIUM,87.12574850299401
Mozambique,MOZ,1995-01,1995-12,12,MEDIUM,87.12574850299401
Mozambique,MOZ,2025-07,2025-08,2,MEDIUM,87.12574850299401
Tanzania,TZA,1970-01,1973-12,48,MEDIUM,87.12574850299401
Tanzania,TZA,1975-01,1976-12,24,MEDIUM,87.12574850299401
Tanzania,TZA,2014-01,2014-11,11,MEDIUM,87.12574850299401
Tanzania,TZA,2025-06,2025-08,3,MEDIUM,87.12574850299401
