country,iso_code,latest_observation,days_stale,latest_positive_observation,observations
Eritrea,ERI,2023-12-31,992,2008-12-31,16
Niger,NER,2025-01-19,607,2024-12-31,5654
Togo,TGO,2025-03-23,544,2025-03-09,4892
Uganda,UGA,2025-03-30,537,2025-03-30,8840
Ghana,GHA,2025-05-04,502,2025-05-04,731
Kenya,KEN,2025-06-01,474,2025-06-01,1085
Benin,BEN,2025-10-31,322,2025-10-31,14997
Ethiopia,ETH,2026-03-01,201,2026-03-01,790
Zimbabwe,ZWE,2026-03-08,194,2026-03-08,1162
Côte d'Ivoire,CIV,2026-04-26,145,2025-12-28,1097
Namibia,NAM,2026-04-26,145,2026-04-26,98
Somalia,SOM,2026-04-26,145,2026-04-26,921
Tanzania,TZA,2026-04-26,145,2026-04-26,2171
Mauritania,MRT,2026-04-30,141,2011-12-31,192
Congo,COG,2026-05-03,138,2026-05-03,11536
Malawi,MWI,2026-05-03,138,2026-05-03,2088
Angola,AGO,2026-05-10,131,2026-05-10,709
Nigeria,NGA,2026-05-10,131,2026-05-10,75950
Rwanda,RWA,2026-05-10,131,2026-05-10,70
Zambia,ZMB,2026-05-10,131,2026-05-10,2184
South Sudan,SSD,2026-05-17,124,2026-05-17,1161
Gabon,GAB,2026-05-26,115,2008-12-31,28
Equatorial Guinea,GNQ,2026-05-26,115,2005-12-31,26
Mali,MLI,2026-05-26,115,2021-12-31,13228
Eswatini,SWZ,2026-05-29,112,2023-12-31,63
Democratic Republic of Congo,COD,2026-05-31,110,2026-05-31,14497
Liberia,LBR,2026-05-31,110,2024-12-31,3598
Sierra Leone,SLE,2026-05-31,110,2018-06-17,58982
Mozambique,MOZ,2026-06-06,104,2026-06-06,832
Burundi,BDI,2026-06-07,103,2026-06-07,34601
Burkina Faso,BFA,2026-06-19,91,2025-06-30,19075
Botswana,BWA,2026-06-19,91,2009-12-31,27
Guinea,GIN,2026-06-19,91,2018-11-25,4828
Gambia,GMB,2026-06-19,91,2021-12-31,20
Guinea-Bissau,GNB,2026-06-19,91,2014-12-31,7736
Senegal,SEN,2026-06-19,91,2015-12-31,29
South Africa,ZAF,2026-07-12,68,2026-07-12,483
Central African Republic,CAF,2026-07-26,54,2026-07-26,17177
Cameroon,CMR,2026-08-16,33,2026-08-16,193728
Chad,TCD,2026-08-16,33,2026-08-16,4861
