country,iso_code,total_months,months_with_data,months_missing,percent_coverage,months_jhu,months_who,months_ai,months_ai_only,months_with_positive_cases,gap_periods
Angola,AGO,681,544,137,79.9,411,16,436,117,403,4
Burundi,BDI,681,677,4,99.4,516,41,344,144,534,1
Benin,BEN,681,579,102,85.0,576,0,68,3,552,6
Burkina Faso,BFA,681,678,3,99.6,397,0,535,281,270,1
Botswana,BWA,681,222,459,32.6,204,0,36,18,24,5
Central African Republic,CAF,681,342,339,50.2,215,4,186,123,86,4
Côte d'Ivoire,CIV,681,412,269,60.5,396,3,64,13,392,7
Cameroon,CMR,681,656,25,96.3,636,44,113,0,631,3
Democratic Republic of Congo,COD,681,617,64,90.6,564,41,60,36,581,2
Congo,COG,681,375,306,55.1,299,34,176,60,210,4
Eritrea,ERI,681,223,458,32.7,192,0,45,31,29,6
Ethiopia,ETH,681,662,19,97.2,288,38,513,360,231,2
Gabon,GAB,681,677,4,99.4,228,0,449,449,60,1
Ghana,GHA,681,616,65,90.5,612,9,165,0,581,2
Guinea,GIN,681,402,279,59.0,372,0,164,30,258,4
Gambia,GMB,681,306,375,44.9,192,0,234,114,96,4
Guinea-Bissau,GNB,681,378,303,55.5,332,0,330,46,216,4
Equatorial Guinea,GNQ,681,557,124,81.8,204,0,557,353,48,2
Kenya,KEN,681,575,106,84.4,570,29,241,0,576,8
Liberia,LBR,681,641,40,94.1,624,0,89,17,612,3
Mali,MLI,681,568,113,83.4,419,0,367,149,312,3
Mozambique,MOZ,681,677,4,99.4,576,41,209,84,582,1
Mauritania,MRT,681,412,269,60.5,360,0,224,52,204,6
Malawi,MWI,681,628,53,92.2,516,40,330,96,537,3
Namibia,NAM,681,254,427,37.3,216,14,151,24,84,3
Niger,NER,681,511,170,75.0,456,5,328,54,427,6
Nigeria,NGA,681,652,29,95.7,636,40,236,0,653,3
Rwanda,RWA,681,106,575,15.6,0,14,102,92,109,3
Senegal,SEN,681,637,44,93.5,0,0,637,637,272,5
Sierra Leone,SLE,681,449,232,65.9,408,0,209,41,196,5
Somalia,SOM,681,412,269,60.5,396,37,163,3,412,4
South Sudan,SSD,681,665,16,97.7,180,26,650,471,152,2
Eswatini,SWZ,681,398,283,58.4,315,5,184,83,195,7
Chad,TCD,681,361,320,53.0,347,14,57,0,242,12
Togo,TGO,681,680,1,99.9,492,16,609,185,480,1
Tanzania,TZA,681,592,89,86.9,576,37,170,3,569,4
Uganda,UGA,681,680,1,99.9,469,21,602,208,481,1
South Africa,ZAF,681,668,13,98.1,470,35,493,180,359,3
Zambia,ZMB,681,676,5,99.3,576,40,148,84,485,1
Zimbabwe,ZWE,681,638,43,93.7,198,37,590,426,321,2
