country,iso_code,missing_month,gap_type
Angola,AGO,1970-01,national
Angola,AGO,1970-02,national
Angola,AGO,1970-03,national
Angola,AGO,1970-04,national
Angola,AGO,1970-05,national
Angola,AGO,1970-06,national
Angola,AGO,1970-07,national
Angola,AGO,1970-08,national
Angola,AGO,1970-09,national
Angola,AGO,1970-10,national
Angola,AGO,1970-11,national
Angola,AGO,1970-12,national
Angola,AGO,1976-01,national
Angola,AGO,1976-02,national
Angola,AGO,1976-03,national
Angola,AGO,1976-04,national
Angola,AGO,1976-05,national
Angola,AGO,1976-06,national
Angola,AGO,1976-07,national
Angola,AGO,1976-08,national
Angola,AGO,1976-09,national
Angola,AGO,1976-10,national
Angola,AGO,1976-11,national
Angola,AGO,1976-12,national
Angola,AGO,1978-01,national
Angola,AGO,1978-02,national
Angola,AGO,1978-03,national
Angola,AGO,1978-04,national
Angola,AGO,1978-05,national
Angola,AGO,1978-06,national
Angola,AGO,1978-07,national
Angola,AGO,1978-08,national
Angola,AGO,1978-09,national
Angola,AGO,1978-10,national
Angola,AGO,1978-11,national
Angola,AGO,1978-12,national
Angola,AGO,1979-01,national
Angola,AGO,1979-02,national
Angola,AGO,1979-03,national
Angola,AGO,1979-04,national
Angola,AGO,1979-05,national
Angola,AGO,1979-06,national
Angola,AGO,1979-07,national
Angola,AGO,1979-08,national
Angola,AGO,1979-09,national
Angola,AGO,1979-10,national
Angola,AGO,1979-11,national
Angola,AGO,1979-12,national
Angola,AGO,1980-01,national
Angola,AGO,1980-02,national
Angola,AGO,1980-03,national
Angola,AGO,1980-04,national
Angola,AGO,1980-05,national
Angola,AGO,1980-06,national
Angola,AGO,1980-07,national
Angola,AGO,1980-08,national
Angola,AGO,1980-09,national
Angola,AGO,1980-10,national
Angola,AGO,1980-11,national
Angola,AGO,1980-12,national
Angola,AGO,1981-01,national
Angola,AGO,1981-02,national
Angola,AGO,1981-03,national
Angola,AGO,1981-04,national
Angola,AGO,1981-05,national
Angola,AGO,1981-06,national
Angola,AGO,1981-07,national
Angola,AGO,1981-08,national
Angola,AGO,1981-09,national
Angola,AGO,1981-10,national
Angola,AGO,1981-11,national
Angola,AGO,1981-12,national
Angola,AGO,1982-01,national
Angola,AGO,1982-02,national
Angola,AGO,1982-03,national
Angola,AGO,1982-04,national
Angola,AGO,1982-05,national
Angola,AGO,1982-06,national
Angola,AGO,1982-07,national
Angola,AGO,1982-08,national
Angola,AGO,1982-09,national
Angola,AGO,1982-10,national
Angola,AGO,1982-11,national
Angola,AGO,1982-12,national
Angola,AGO,1983-01,national
Angola,AGO,1983-02,national
Angola,AGO,1983-03,national
Angola,AGO,1983-04,national
Angola,AGO,1983-05,national
Angola,AGO,1983-06,national
Angola,AGO,1983-07,national
Angola,AGO,1983-08,national
Angola,AGO,1983-09,national
Angola,AGO,1983-10,national
Angola,AGO,1983-11,national
Angola,AGO,1983-12,national
Angola,AGO,1984-01,national
Angola,AGO,1984-02,national
Angola,AGO,1984-03,national
Angola,AGO,1984-04,national
Angola,AGO,1984-05,national
Angola,AGO,1984-06,national
Angola,AGO,1984-07,national
Angola,AGO,1984-08,national
Angola,AGO,1984-09,national
Angola,AGO,1984-10,national
Angola,AGO,1984-11,national
Angola,AGO,1984-12,national
Angola,AGO,1985-01,national
Angola,AGO,1985-02,national
Angola,AGO,1985-03,national
Angola,AGO,1985-04,national
Angola,AGO,1985-05,national
Angola,AGO,1985-06,national
Angola,AGO,1985-07,national
Angola,AGO,1985-08,national
Angola,AGO,1985-09,national
Angola,AGO,1985-10,national
Angola,AGO,1985-11,national
Angola,AGO,1985-12,national
Angola,AGO,1986-01,national
Angola,AGO,1986-02,national
Angola,AGO,1986-03,national
Angola,AGO,1986-04,national
Angola,AGO,1986-05,national
Angola,AGO,1986-06,national
Angola,AGO,1986-07,national
Angola,AGO,1986-08,national
Angola,AGO,1986-09,national
Angola,AGO,1986-10,national
Angola,AGO,1986-11,national
Angola,AGO,1986-12,national
Angola,AGO,1993-01,national
Angola,AGO,1993-02,national
Angola,AGO,1993-03,national
Angola,AGO,1993-04,national
Angola,AGO,1993-05,national
Angola,AGO,1993-06,national
Angola,AGO,1993-07,national
Angola,AGO,1993-08,national
Angola,AGO,1993-09,national
Angola,AGO,1993-10,national
Angola,AGO,1993-11,national
Angola,AGO,1993-12,national
Angola,AGO,1997-01,national
Angola,AGO,1997-02,national
Angola,AGO,1997-03,national
Angola,AGO,1997-04,national
Angola,AGO,1997-05,national
Angola,AGO,1997-06,national
Angola,AGO,1997-07,national
Angola,AGO,1997-08,national
Angola,AGO,1997-09,national
Angola,AGO,1997-10,national
Angola,AGO,1997-11,national
Angola,AGO,1997-12,national
Angola,AGO,1998-01,national
Angola,AGO,1998-02,national
Angola,AGO,1998-03,national
Angola,AGO,1998-04,national
Angola,AGO,1998-05,national
Angola,AGO,1998-06,national
Angola,AGO,1998-07,national
Angola,AGO,1998-08,national
Angola,AGO,1998-09,national
Angola,AGO,1998-10,national
Angola,AGO,1998-11,national
Angola,AGO,1998-12,national
Angola,AGO,1999-01,national
Angola,AGO,1999-02,national
Angola,AGO,1999-03,national
Angola,AGO,1999-04,national
Angola,AGO,1999-05,national
Angola,AGO,1999-06,national
Angola,AGO,1999-07,national
Angola,AGO,1999-08,national
Angola,AGO,1999-09,national
Angola,AGO,1999-10,national
Angola,AGO,1999-11,national
Angola,AGO,1999-12,national
Angola,AGO,2000-01,national
Angola,AGO,2000-02,national
Angola,AGO,2000-03,national
Angola,AGO,2000-04,national
Angola,AGO,2000-05,national
Angola,AGO,2000-06,national
Angola,AGO,2000-07,national
Angola,AGO,2000-08,national
Angola,AGO,2000-09,national
Angola,AGO,2000-10,national
Angola,AGO,2000-11,national
