country,iso_code,gap_start,gap_end,gap_days,gap_years,geographic_level,search_priority,seasonal_context,preceding_outbreak_scale,following_outbreak_scale,preceding_location,following_location,country_coverage_pct,priority_score,priority_tier
Namibia,NAM,2014-12-31,2025-03-17,3729,10.21,national,HIGH,dry_season_to_pre_rainy,moderate,small,AFR::NAM,AFR::NAM,6.6,100,CRITICAL
Angola,AGO,2019-01-20,2025-01-06,2178,5.96,national,HIGH,dry_season,minimal,moderate,AFR::AGO,AFR::AGO,21.5,100,CRITICAL
South Africa,ZAF,2009-12-31,2024-01-01,5114,14.0,provincial,HIGH,dry_season,minimal,minimal,AFR::ZAF::Limpopo,AFR::ZAF::Gauteng,33.1,95,CRITICAL
Niger,NER,2018-11-25,2024-08-27,2102,5.75,provincial,HIGH,post_rainy_to_rainy_season,minimal,small,AFR::NER::Maradi,AFR::NER::NE-5,22.0,95,CRITICAL
Zambia,ZMB,2018-04-08,2023-10-08,2009,5.5,provincial,HIGH,pre_rainy_to_post_rainy,moderate,moderate,AFR::ZMB::Lusaka,AFR::ZMB::Southern,29.0,90,CRITICAL
South Sudan,SSD,2017-12-10,2022-01-01,1483,4.06,national,HIGH,dry_season,small,moderate,AFR::SSD,AFR::SSD,31.9,90,CRITICAL
Central African Republic,CAF,2018-02-18,2022-01-03,1415,3.87,national,HIGH,dry_season,minimal,no_cases,AFR::CAF,AFR::CAF,16.7,90,CRITICAL
South Africa,ZAF,2018-10-09,2022-01-01,1180,3.23,national,HIGH,post_rainy_to_dry_season,minimal,minimal,AFR::ZAF,AFR::ZAF,33.1,90,CRITICAL
Ghana,GHA,2021-12-31,2024-01-01,731,2.0,national,HIGH,dry_season,minimal,no_cases,AFR::GHA,AFR::GHA,36.3,90,CRITICAL
Niger,NER,2021-12-31,2024-01-01,731,2.0,national,HIGH,dry_season,major,major,AFR::NER,AFR::NER,22.0,90,CRITICAL
Gambia,GMB,2008-12-31,2021-01-01,4384,12.0,national,HIGH,dry_season,minimal,minimal,AFR::GMB,AFR::GMB,0.3,85,HIGH
Burkina Faso,BFA,2012-12-31,2021-01-01,2923,8.0,national,HIGH,dry_season,moderate,minimal,AFR::BFA,AFR::BFA,6.1,85,HIGH
Mali,MLI,2013-12-31,2021-01-01,2558,7.0,national,HIGH,dry_season,small,small,AFR::MLI,AFR::MLI,7.0,85,HIGH
Zimbabwe,ZWE,2019-04-07,2023-03-01,1424,3.9,provincial,HIGH,pre_rainy,minimal,large,AFR::ZWE::Manicaland,AFR::ZWE::Midlands,26.3,85,HIGH
Uganda,UGA,2019-09-06,2023-07-01,1394,3.82,provincial,HIGH,rainy_season,small,small,AFR::UGA::Busia,AFR::UGA::Namayingo,34.3,85,HIGH
Burundi,BDI,2019-06-06,2022-12-08,1281,3.51,provincial,HIGH,rainy_season_to_dry_season,minimal,small,AFR::BDI::Bujumbura Mairie,AFR::BDI::Cibitoke,33.2,85,HIGH
