country,iso_code,total_months,months_with_data,months_missing,percent_coverage,months_jhu,months_who,months_ai,months_ai_only,months_with_positive_cases,gap_periods
Angola,AGO,681,425,256,62.4,409,16,0,0,391,7
Burundi,BDI,681,533,148,78.3,516,41,0,0,533,3
Benin,BEN,681,576,105,84.6,576,0,0,0,549,5
Burkina Faso,BFA,681,396,285,58.1,396,0,0,0,264,11
Botswana,BWA,681,204,477,30.0,204,0,0,0,24,5
Central African Republic,CAF,681,219,462,32.2,215,4,0,0,83,7
Côte d'Ivoire,CIV,681,399,282,58.6,396,3,0,0,383,8
Cameroon,CMR,681,656,25,96.3,636,44,0,0,629,3
Democratic Republic of Congo,COD,681,580,101,85.2,564,40,0,0,581,2
Congo,COG,681,315,366,46.3,299,34,0,0,208,6
Eritrea,ERI,681,192,489,28.2,192,0,0,0,24,4
Ethiopia,ETH,681,302,379,44.3,288,38,0,0,231,3
Gabon,GAB,681,228,453,33.5,228,0,0,0,60,8
Ghana,GHA,681,616,65,90.5,612,9,0,0,570,2
Guinea,GIN,681,372,309,54.6,372,0,0,0,258,5
Gambia,GMB,681,192,489,28.2,192,0,0,0,96,7
Guinea-Bissau,GNB,681,331,350,48.6,331,0,0,0,216,7
Equatorial Guinea,GNQ,681,204,477,30.0,204,0,0,0,48,5
Kenya,KEN,681,575,106,84.4,570,29,0,0,576,8
Liberia,LBR,681,624,57,91.6,624,0,0,0,612,3
Mali,MLI,681,419,262,61.5,419,0,0,0,300,7
Mozambique,MOZ,681,593,88,87.1,576,41,0,0,581,5
Mauritania,MRT,681,359,322,52.7,359,0,0,0,204,8
Malawi,MWI,681,532,149,78.1,516,40,0,0,525,6
Namibia,NAM,681,228,453,33.5,216,12,0,0,81,5
Niger,NER,681,457,224,67.1,456,5,0,0,415,8
Nigeria,NGA,681,652,29,95.7,636,40,0,0,653,3
Rwanda,RWA,681,13,668,1.9,0,13,0,0,13,2
Senegal,SEN,681,0,681,0.0,0,0,0,0,0,1
Sierra Leone,SLE,681,405,276,59.5,405,0,0,0,196,8
Somalia,SOM,681,408,273,59.9,396,36,0,0,409,4
South Sudan,SSD,681,192,489,28.2,178,26,0,0,113,4
Eswatini,SWZ,681,315,366,46.3,315,5,0,0,195,9
Chad,TCD,681,361,320,53.0,347,14,0,0,241,12
Togo,TGO,681,495,186,72.7,492,16,0,0,450,5
Tanzania,TZA,681,589,92,86.5,576,37,0,0,562,4
Uganda,UGA,681,471,210,69.2,468,21,0,0,460,9
South Africa,ZAF,681,488,193,71.7,470,35,0,0,354,9
Zambia,ZMB,681,592,89,86.9,576,40,0,0,483,2
Zimbabwe,ZWE,681,210,471,30.8,196,37,0,0,166,3
