iso_code,country,coverage_pct,data_span,search_priority,missing_recent_years,priority_periods,total_observations,meaningful_observations,earliest_date,latest_date,data_sources,jhu_observations,who_observations,ai_observations,major_gaps
COG,Congo,0.0,No data,HIGH,2000-2024,Complete data collection needed,0,0,,,0,0,0,0,0
RWA,Rwanda,0.0,No data,HIGH,2000-2024,Complete data collection needed,0,0,,,0,0,0,0,0
SEN,Senegal,0.0,No data,HIGH,2000-2024,Complete data collection needed,0,0,,,0,0,0,0,0
SWZ,Eswatini,0.0,No data,HIGH,2000-2024,Complete data collection needed,0,0,,,0,0,0,0,0
GMB,Gambia,0.3,1985-2021,HIGH,"2018, 2019, 2020, 2022, 2023, 2024, 2025",2008-12-31 to 2021-01-01,15,8,1985-01-01,2021-12-31,2,15,0,0,4
ERI,Eritrea,1.9,2007-2008,HIGH,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2008-12-31 to 2025-01-01,16,2,2007-01-01,2008-12-31,1,16,0,0,0
MRT,Mauritania,3.0,1971-2011,HIGH,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2007-12-31 to 2011-01-01,182,17,1971-01-01,2011-12-31,2,182,0,0,5
GAB,Gabon,3.6,1979-2008,HIGH,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2003-12-31 to 2008-01-01,18,5,1979-01-01,2008-12-31,1,18,0,0,3
GNQ,Equatorial Guinea,5.2,1984-2005,HIGH,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",1985-12-31 to 2004-01-01,18,6,1984-01-01,2005-12-31,2,18,0,0,1
BFA,Burkina Faso,6.1,1970-2022,HIGH,"2018, 2019, 2020, 2023, 2024, 2025",2021-09-19 to 2022-01-01,19014,38,1970-01-01,2022-12-31,7,19014,0,0,13
NAM,Namibia,6.6,2006-2025,HIGH,"2019, 2020, 2021, 2022, 2023, 2024",2018-01-31 to 2025-03-17,26,13,2006-01-01,2025-03-23,7,25,1,0,4
MLI,Mali,7.0,1970-2021,HIGH,"2018, 2019, 2020, 2022, 2023, 2024, 2025",2013-12-31 to 2021-01-01,13162,39,1970-01-01,2021-12-31,8,13162,0,0,9
GIN,Guinea,10.9,1970-2018,HIGH,"2019, 2020, 2021, 2022, 2023, 2024, 2025",2018-07-08 to 2018-11-19,4815,90,1970-01-01,2018-11-25,4,4815,0,0,11
TCD,Chad,11.0,1971-2019,HIGH,"2018, 2020, 2021, 2022, 2023, 2024, 2025",2019-09-15 to 2019-09-23,4768,199,1971-01-01,2019-12-31,23,4768,0,0,17
