country,iso_code,gap_year,months_missing,months_in_year
Angola,AGO,1970,12,12
Angola,AGO,1976,12,12
Angola,AGO,1978,12,12
Angola,AGO,1979,12,12
Angola,AGO,1980,12,12
Angola,AGO,1981,12,12
Angola,AGO,1982,12,12
Angola,AGO,1983,12,12
Angola,AGO,1984,12,12
Angola,AGO,1985,12,12
Angola,AGO,1986,12,12
Benin,BEN,1979,12,12
Benin,BEN,1985,12,12
Benin,BEN,1987,12,12
Benin,BEN,1988,12,12
Benin,BEN,1989,12,12
Benin,BEN,1990,12,12
Benin,BEN,2007,12,12
Benin,BEN,2025,9,12
Benin,BEN,2026,9,9
Botswana,BWA,1970,12,12
Botswana,BWA,1971,12,12
Botswana,BWA,1972,12,12
Botswana,BWA,1973,12,12
Botswana,BWA,1974,12,12
Botswana,BWA,1975,12,12
Botswana,BWA,1976,12,12
Botswana,BWA,1977,12,12
Botswana,BWA,1978,12,12
Botswana,BWA,1979,12,12
Botswana,BWA,1980,12,12
Botswana,BWA,1981,12,12
Botswana,BWA,1982,12,12
Botswana,BWA,1983,12,12
Botswana,BWA,1984,12,12
Botswana,BWA,1985,12,12
Botswana,BWA,1986,12,12
Botswana,BWA,1987,12,12
Botswana,BWA,1988,12,12
Botswana,BWA,1989,12,12
Botswana,BWA,1990,12,12
Botswana,BWA,1991,12,12
Botswana,BWA,1992,12,12
Botswana,BWA,1993,12,12
Botswana,BWA,1994,12,12
Botswana,BWA,1995,12,12
Botswana,BWA,1996,12,12
Botswana,BWA,1997,12,12
Botswana,BWA,1998,12,12
Botswana,BWA,1999,12,12
Botswana,BWA,2000,12,12
Botswana,BWA,2001,12,12
Botswana,BWA,2002,12,12
Botswana,BWA,2003,12,12
Botswana,BWA,2004,12,12
Botswana,BWA,2007,12,12
Botswana,BWA,2010,12,12
Botswana,BWA,2022,12,12
Central African Republic,CAF,1970,12,12
Central African Republic,CAF,1971,12,12
Central African Republic,CAF,1972,12,12
Central African Republic,CAF,1973,12,12
Central African Republic,CAF,1974,12,12
Central African Republic,CAF,1975,12,12
Central African Republic,CAF,1976,12,12
Central African Republic,CAF,1977,12,12
Central African Republic,CAF,1978,12,12
Central African Republic,CAF,1979,12,12
Central African Republic,CAF,1980,12,12
Central African Republic,CAF,1981,12,12
Central African Republic,CAF,1982,12,12
Central African Republic,CAF,1983,12,12
Central African Republic,CAF,1984,12,12
Central African Republic,CAF,1985,12,12
Central African Republic,CAF,1986,12,12
Central African Republic,CAF,1987,12,12
Central African Republic,CAF,1988,12,12
Central African Republic,CAF,1989,12,12
Central African Republic,CAF,1990,12,12
Central African Republic,CAF,1991,12,12
Central African Republic,CAF,1992,12,12
Central African Republic,CAF,1993,12,12
Central African Republic,CAF,1994,12,12
Central African Republic,CAF,1995,12,12
Central African Republic,CAF,1996,12,12
Central African Republic,CAF,2013,12,12
Côte d'Ivoire,CIV,1972,12,12
Côte d'Ivoire,CIV,1973,12,12
Côte d'Ivoire,CIV,1974,12,12
Côte d'Ivoire,CIV,1975,12,12
Côte d'Ivoire,CIV,1976,12,12
Côte d'Ivoire,CIV,1977,12,12
Côte d'Ivoire,CIV,1978,12,12
Côte d'Ivoire,CIV,1980,12,12
Côte d'Ivoire,CIV,1981,12,12
Côte d'Ivoire,CIV,1983,12,12
Côte d'Ivoire,CIV,1984,12,12
Côte d'Ivoire,CIV,1985,12,12
Côte d'Ivoire,CIV,1986,12,12
Côte d'Ivoire,CIV,1987,12,12
Côte d'Ivoire,CIV,1988,12,12
Côte d'Ivoire,CIV,1989,12,12
Côte d'Ivoire,CIV,1990,12,12
Côte d'Ivoire,CIV,1997,12,12
Côte d'Ivoire,CIV,1998,12,12
Côte d'Ivoire,CIV,1999,12,12
Côte d'Ivoire,CIV,2000,12,12
Côte d'Ivoire,CIV,2020,10,12
Cameroon,CMR,1970,12,12
Cameroon,CMR,1977,12,12
Democratic Republic of Congo,COD,1973,12,12
Democratic Republic of Congo,COD,1974,12,12
Democratic Republic of Congo,COD,1975,12,12
Democratic Republic of Congo,COD,1976,12,12
Democratic Republic of Congo,COD,1977,12,12
Congo,COG,1970,12,12
Congo,COG,1971,12,12
Congo,COG,1972,12,12
Congo,COG,1973,12,12
Congo,COG,1974,12,12
Congo,COG,1975,12,12
Congo,COG,1976,12,12
Congo,COG,1977,12,12
Congo,COG,1980,12,12
Congo,COG,1981,12,12
Congo,COG,1982,12,12
Congo,COG,1983,12,12
Congo,COG,1984,12,12
Congo,COG,1985,12,12
Congo,COG,1986,12,12
Congo,COG,1987,12,12
Congo,COG,1988,12,12
Congo,COG,1989,12,12
Congo,COG,1990,12,12
Congo,COG,1991,12,12
Congo,COG,1992,12,12
Congo,COG,1993,12,12
Congo,COG,1994,12,12
Congo,COG,1995,12,12
Congo,COG,1996,12,12
Eritrea,ERI,1971,12,12
Eritrea,ERI,1972,12,12
Eritrea,ERI,1973,12,12
Eritrea,ERI,1974,12,12
Eritrea,ERI,1975,12,12
Eritrea,ERI,1976,12,12
Eritrea,ERI,1977,12,12
Eritrea,ERI,1978,12,12
Eritrea,ERI,1979,12,12
Eritrea,ERI,1980,12,12
Eritrea,ERI,1981,12,12
Eritrea,ERI,1982,12,12
Eritrea,ERI,1983,12,12
Eritrea,ERI,1984,12,12
Eritrea,ERI,1985,12,12
Eritrea,ERI,1986,12,12
Eritrea,ERI,1987,12,12
Eritrea,ERI,1988,12,12
Eritrea,ERI,1989,12,12
Eritrea,ERI,1990,12,12
Eritrea,ERI,1991,12,12
Eritrea,ERI,1992,12,12
Eritrea,ERI,1993,12,12
Eritrea,ERI,1994,12,12
Eritrea,ERI,1995,12,12
Eritrea,ERI,1996,12,12
Eritrea,ERI,1998,12,12
Eritrea,ERI,1999,12,12
Eritrea,ERI,2001,12,12
Eritrea,ERI,2002,12,12
Eritrea,ERI,2003,12,12
Eritrea,ERI,2004,12,12
Eritrea,ERI,2009,12,12
Eritrea,ERI,2010,12,12
Eritrea,ERI,2022,12,12
Eritrea,ERI,2024,12,12
Eritrea,ERI,2025,12,12
Eritrea,ERI,2026,9,9
Ethiopia,ETH,1998,12,12
Ethiopia,ETH,2026,7,9
Ghana,GHA,1986,12,12
Ghana,GHA,1987,12,12
Ghana,GHA,1988,12,12
Ghana,GHA,1989,12,12
Ghana,GHA,2025,8,12
Ghana,GHA,2026,9,9
Guinea,GIN,1971,12,12
Guinea,GIN,1972,12,12
Guinea,GIN,1973,12,12
Guinea,GIN,1974,12,12
Guinea,GIN,1975,12,12
Guinea,GIN,1976,12,12
Guinea,GIN,1977,12,12
Guinea,GIN,1978,12,12
Guinea,GIN,1979,12,12
Guinea,GIN,1980,12,12
Guinea,GIN,1981,12,12
Guinea,GIN,1982,12,12
Guinea,GIN,1983,12,12
Guinea,GIN,1984,12,12
Guinea,GIN,1985,12,12
Guinea,GIN,1987,12,12
Guinea,GIN,1988,12,12
Guinea,GIN,1989,12,12
Guinea,GIN,1990,12,12
Guinea,GIN,1991,12,12
Guinea,GIN,1992,12,12
Guinea,GIN,1993,12,12
Guinea,GIN,1997,12,12
Gambia,GMB,1970,12,12
Gambia,GMB,1971,12,12
Gambia,GMB,1972,12,12
Gambia,GMB,1973,12,12
Gambia,GMB,1974,12,12
Gambia,GMB,1975,12,12
Gambia,GMB,1976,12,12
Gambia,GMB,1977,12,12
Gambia,GMB,1978,12,12
Gambia,GMB,1979,12,12
Gambia,GMB,1980,12,12
Gambia,GMB,1981,12,12
Gambia,GMB,1982,12,12
Gambia,GMB,1983,12,12
Gambia,GMB,1984,12,12
Gambia,GMB,1986,12,12
Gambia,GMB,1987,12,12
Gambia,GMB,1988,12,12
Gambia,GMB,1989,12,12
Gambia,GMB,1990,12,12
Gambia,GMB,1991,12,12
Gambia,GMB,1992,12,12
Gambia,GMB,1993,12,12
Gambia,GMB,1997,12,12
Gambia,GMB,1998,12,12
Gambia,GMB,1999,12,12
Gambia,GMB,2000,12,12
Gambia,GMB,2001,12,12
Gambia,GMB,2002,12,12
Gambia,GMB,2003,12,12
Gambia,GMB,2004,12,12
Guinea-Bissau,GNB,1970,12,12
Guinea-Bissau,GNB,1971,12,12
Guinea-Bissau,GNB,1972,12,12
Guinea-Bissau,GNB,1973,12,12
Guinea-Bissau,GNB,1974,12,12
Guinea-Bissau,GNB,1975,12,12
Guinea-Bissau,GNB,1976,12,12
Guinea-Bissau,GNB,1977,12,12
Guinea-Bissau,GNB,1978,12,12
Guinea-Bissau,GNB,1979,12,12
Guinea-Bissau,GNB,1980,12,12
Guinea-Bissau,GNB,1981,12,12
Guinea-Bissau,GNB,1982,12,12
Guinea-Bissau,GNB,1983,12,12
Guinea-Bissau,GNB,1984,12,12
Guinea-Bissau,GNB,1985,12,12
Guinea-Bissau,GNB,1988,12,12
Guinea-Bissau,GNB,1989,12,12
Guinea-Bissau,GNB,1990,12,12
Guinea-Bissau,GNB,1991,12,12
Guinea-Bissau,GNB,1992,12,12
Guinea-Bissau,GNB,1993,12,12
Guinea-Bissau,GNB,1999,12,12
Guinea-Bissau,GNB,2000,12,12
Guinea-Bissau,GNB,2001,12,12
Equatorial Guinea,GNQ,1970,12,12
Equatorial Guinea,GNQ,1971,12,12
Equatorial Guinea,GNQ,1972,12,12
Equatorial Guinea,GNQ,1973,12,12
Equatorial Guinea,GNQ,1974,12,12
Equatorial Guinea,GNQ,1975,12,12
Equatorial Guinea,GNQ,1976,12,12
Equatorial Guinea,GNQ,1977,12,12
Equatorial Guinea,GNQ,1978,12,12
Equatorial Guinea,GNQ,1979,12,12
Kenya,KEN,1970,12,12
Kenya,KEN,1973,12,12
Kenya,KEN,1988,12,12
Kenya,KEN,1990,12,12
Kenya,KEN,1991,12,12
Kenya,KEN,1993,12,12
Kenya,KEN,2012,6,12
Kenya,KEN,2013,12,12
Kenya,KEN,2025,7,12
Kenya,KEN,2026,9,9
Liberia,LBR,1990,12,12
Liberia,LBR,1992,12,12
Liberia,LBR,1993,12,12
Mali,MLI,1975,12,12
Mali,MLI,1976,12,12
Mali,MLI,1977,12,12
Mali,MLI,1978,12,12
Mali,MLI,1979,12,12
Mali,MLI,1980,12,12
Mali,MLI,1981,12,12
Mali,MLI,1982,12,12
Mali,MLI,1983,12,12
Mauritania,MRT,1970,12,12
Mauritania,MRT,1974,12,12
Mauritania,MRT,1975,12,12
Mauritania,MRT,1976,12,12
Mauritania,MRT,1977,12,12
Mauritania,MRT,1978,12,12
Mauritania,MRT,1979,12,12
Mauritania,MRT,1980,12,12
Mauritania,MRT,1981,12,12
Mauritania,MRT,1982,12,12
Mauritania,MRT,1983,12,12
Mauritania,MRT,1990,12,12
Mauritania,MRT,1991,12,12
Mauritania,MRT,1992,12,12
Mauritania,MRT,1993,12,12
Mauritania,MRT,1994,12,12
Mauritania,MRT,1995,12,12
Mauritania,MRT,1998,12,12
Mauritania,MRT,1999,12,12
Mauritania,MRT,2000,12,12
Mauritania,MRT,2001,12,12
Mauritania,MRT,2004,12,12
Malawi,MWI,1970,12,12
Malawi,MWI,1971,12,12
Malawi,MWI,1972,12,12
Malawi,MWI,1974,12,12
Namibia,NAM,1970,12,12
Namibia,NAM,1971,12,12
Namibia,NAM,1972,12,12
Namibia,NAM,1973,12,12
Namibia,NAM,1974,12,12
Namibia,NAM,1975,12,12
Namibia,NAM,1976,12,12
Namibia,NAM,1977,12,12
Namibia,NAM,1978,12,12
Namibia,NAM,1979,12,12
Namibia,NAM,1980,12,12
Namibia,NAM,1981,12,12
Namibia,NAM,1982,12,12
Namibia,NAM,1983,12,12
Namibia,NAM,1984,12,12
Namibia,NAM,1985,12,12
Namibia,NAM,1986,12,12
Namibia,NAM,1987,12,12
Namibia,NAM,1988,12,12
Namibia,NAM,1989,12,12
Namibia,NAM,1990,12,12
Namibia,NAM,1991,12,12
Namibia,NAM,1992,12,12
Namibia,NAM,1993,12,12
Namibia,NAM,1994,12,12
Namibia,NAM,1995,12,12
Namibia,NAM,1996,12,12
Namibia,NAM,1997,12,12
Namibia,NAM,1998,12,12
Namibia,NAM,1999,12,12
Namibia,NAM,2000,12,12
Namibia,NAM,2001,12,12
Namibia,NAM,2002,12,12
Namibia,NAM,2003,12,12
Namibia,NAM,2004,12,12
Niger,NER,1975,12,12
Niger,NER,1976,12,12
Niger,NER,1977,12,12
Niger,NER,1978,12,12
Niger,NER,1979,12,12
