country,iso_code,gap_start,gap_end,gap_days,gap_years,geographic_level,search_priority,seasonal_context,preceding_outbreak_scale,following_outbreak_scale,preceding_location,following_location,country_coverage_pct,priority_score,priority_tier
South Africa,ZAF,2009-12-31,2024-01-01,5114,14.0,provincial,HIGH,dry_season,minimal,minimal,AFR::ZAF::Limpopo,AFR::ZAF::Gauteng,33.1,95,CRITICAL
Niger,NER,2018-11-25,2024-08-27,2102,5.75,provincial,HIGH,post_rainy_to_rainy_season,minimal,small,AFR::NER::Maradi,AFR::NER::NE-5,22.0,95,CRITICAL
Niger,NER,2018-11-25,2024-08-27,2102,5.75,district,HIGH,post_rainy_to_rainy_season,minimal,small,AFR::NER::Maradi::Madarounfa,AFR::NER::NE-5::Madaoua,22.0,90,CRITICAL
Zambia,ZMB,2018-04-08,2023-10-08,2009,5.5,provincial,HIGH,pre_rainy_to_post_rainy,moderate,moderate,AFR::ZMB::Lusaka,AFR::ZMB::Southern,29.0,90,CRITICAL
Uganda,UGA,2018-03-09,2023-07-01,1940,5.31,district,HIGH,pre_rainy_to_rainy_season,minimal,minimal,AFR::UGA::Hoima::Kyangwali Health Centre,AFR::UGA::Namayingo::Namayingo,34.3,85,HIGH
Zimbabwe,ZWE,2019-04-07,2023-03-01,1424,3.9,provincial,HIGH,pre_rainy,minimal,large,AFR::ZWE::Manicaland,AFR::ZWE::Midlands,26.3,85,HIGH
Uganda,UGA,2019-09-06,2023-07-01,1394,3.82,provincial,HIGH,rainy_season,small,small,AFR::UGA::Busia,AFR::UGA::Namayingo,34.3,85,HIGH
Burundi,BDI,2019-06-06,2022-12-08,1281,3.51,provincial,HIGH,rainy_season_to_dry_season,minimal,small,AFR::BDI::Bujumbura Mairie,AFR::BDI::Cibitoke,33.2,85,HIGH
Tanzania,TZA,2018-11-18,2022-05-18,1277,3.5,provincial,HIGH,post_rainy_to_pre_rainy,small,small,AFR::TZA::Mainland,AFR::TZA::Katavi,30.2,85,HIGH
Kenya,KEN,2019-06-16,2022-10-19,1221,3.34,provincial,HIGH,rainy_season_to_post_rainy,large,no_cases,AFR::KEN::(Coast##Mombasa|Eastern##Embu|Eastern##Machakos|Nairobi##Nairobi|North-Eastern##Garissa|North-Eastern##Mandera|North-Eastern##Wajir|Rift Valley##Kajiado|Rift Valley##Narok),AFR::KEN::KE-13,54.1,85,HIGH
South Sudan,SSD,2017-12-03,2022-03-14,1562,4.28,district,HIGH,dry_season_to_pre_rainy,minimal,minimal,AFR::SSD::Eastern Equatoria::Budi,AFR::SSD::Unity::Rubkona,31.9,80,HIGH
Mozambique,MOZ,2019-05-05,2022-09-14,1228,3.36,district,HIGH,pre_rainy_to_rainy_season,major,small,AFR::MOZ::Sofala::(Beira|Buzi|Dondo|Nhamatanda),AFR::MOZ::Gaza::Cidade De Xai-Xai,31.7,80,HIGH
Somalia,SOM,2020-11-15,2023-01-01,777,2.13,provincial,HIGH,post_rainy_to_dry_season,no_cases,large,AFR::SOM::(Banaadir|Bay|Hiiraan|Lower Shabelle),AFR::SOM::Banaadir,25.0,80,HIGH
Mozambique,MOZ,2021-03-21,2022-09-12,540,1.48,provincial,HIGH,pre_rainy_to_rainy_season,large,small,AFR::MOZ::Cabo Delgado,AFR::MOZ::Niassa,31.7,80,HIGH
Democratic Republic of Congo,COD,2022-07-10,2023-10-13,460,1.26,provincial,HIGH,rainy_season_to_post_rainy,small,moderate,AFR::COD::Sud-Kivu,AFR::COD::Tanganyika,41.1,80,HIGH
