Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 882),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Botswana/ObservationCollection882.csv,JHU cholera database entry with 3 observations. Frequency: Weekly. Updated: 2024-02-09,2008-12-10,2008-12-16,2,JHU
2,JHU Cholera Database (UID: 883),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Botswana/ObservationCollection883.csv,JHU cholera database entry with 2 observations. Frequency: Other (3). Updated: 2024-02-09,2009-02-05,2009-03-02,2,JHU
3,WHO Annual Cholera Report (UID: 304),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Botswana/ObservationCollection304.csv,JHU cholera database entry with 16 observations. Frequency: Annual. Updated: 2024-10-03 Source tags: WHOannual,2005-01-01,2023-12-31,1,JHU
