Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 822),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection822.csv,JHU cholera database entry with 11 observations. Frequency: Weekly. Updated: 2024-04-24,2014-01-01,2014-03-18,2,JHU
2,JHU Cholera Database (UID: 215),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection215.csv,JHU cholera database entry with 15 observations. Frequency: Weekly. Updated: 2024-02-09,2012-07-23,2012-11-04,2,JHU
3,UNICEF Country Programme Report (UID: 5115),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection5115.csv,JHU cholera database entry with 4870 observations. Frequency: Weekly. Updated: 2025-07-25 Source tags: UNICEFcp,2013-12-30,2024-09-29,2,JHU
4,JHU Cholera Database (UID: 20416),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20416.csv,JHU cholera database entry with 2 observations. Frequency: Other (90). Updated: 2024-02-09,2010-07-03,2010-10-01,2,JHU
5,WHO AFRO Surveillance Report (UID: 20928),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20928.csv,JHU cholera database entry with 1 observations. Frequency: Other (9). Updated: 2024-02-09 Source tags: WHOafro,2018-07-04,2018-07-13,1,JHU
6,WHO AFRO Surveillance Report (UID: 20994),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20994.csv,JHU cholera database entry with 4 observations. Frequency: Other (83). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-10-04,1,JHU
7,WHO AFRO Surveillance Report (UID: 21032),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21032.csv,JHU cholera database entry with 3 observations. Frequency: Other (82). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-11-12,1,JHU
8,JHU Cholera Database (UID: 85),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection85.csv,JHU cholera database entry with 131 observations. Frequency: Other (80). Updated: 2024-04-24,2012-01-01,2013-12-31,2,JHU
9,WHO AFRO Surveillance Report (UID: 20989),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20989.csv,JHU cholera database entry with 6 observations. Frequency: Other (75). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-09-26,1,JHU
10,WHO AFRO Surveillance Report (UID: 21015),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21015.csv,JHU cholera database entry with 3 observations. Frequency: Other (68). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-10-21,1,JHU
11,WHO AFRO Surveillance Report (UID: 21008),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21008.csv,JHU cholera database entry with 3 observations. Frequency: Other (65). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-10-18,1,JHU
12,WHO AFRO Surveillance Report (UID: 20979),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20979.csv,JHU cholera database entry with 5 observations. Frequency: Other (62). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-09-13,1,JHU
13,JHU Cholera Database (UID: 83),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection83.csv,JHU cholera database entry with 8 observations. Frequency: Other (58). Updated: 2024-04-24,2011-03-16,2011-11-13,2,JHU
14,WHO AFRO Surveillance Report (UID: 21026),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21026.csv,JHU cholera database entry with 5 observations. Frequency: Other (54). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-11-08,1,JHU
15,WHO AFRO Surveillance Report (UID: 21038),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21038.csv,JHU cholera database entry with 7 observations. Frequency: Other (53). Updated: 2025-11-03 Source tags: WHOafro,2018-07-13,2024-09-24,1,JHU
16,WHO AFRO Surveillance Report (UID: 21005),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21005.csv,JHU cholera database entry with 38 observations. Frequency: Other (51). Updated: 2024-02-09 Source tags: WHOafro,2018-07-05,2018-10-10,1,JHU
17,JHU Cholera Database (UID: 218),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection218.csv,JHU cholera database entry with 8 observations. Frequency: Other (4). Updated: 2024-05-13,2013-05-06,2013-06-02,2,JHU
18,WHO AFRO Surveillance Report (UID: 20975),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20975.csv,JHU cholera database entry with 13 observations. Frequency: Other (34). Updated: 2024-02-09 Source tags: WHOafro,2018-07-05,2018-09-05,1,JHU
19,JHU Cholera Database (UID: 82),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection82.csv,JHU cholera database entry with 42 observations. Frequency: Other (285). Updated: 2024-04-24,2008-01-01,2008-10-12,2,JHU
20,WHO AFRO Surveillance Report (UID: 20948),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20948.csv,JHU cholera database entry with 14 observations. Frequency: Other (27). Updated: 2024-02-09 Source tags: WHOafro,2018-07-05,2018-08-05,1,JHU
21,WHO AFRO Surveillance Report (UID: 20933),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20933.csv,JHU cholera database entry with 21 observations. Frequency: Other (27). Updated: 2024-02-09 Source tags: WHOafro,2017-07-06,2018-07-17,1,JHU
22,WHO AFRO Surveillance Report (UID: 21023),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21023.csv,JHU cholera database entry with 41 observations. Frequency: Other (24). Updated: 2024-02-09 Source tags: WHOafro,2018-07-02,2018-11-04,1,JHU
23,WHO AFRO Surveillance Report (UID: 20957),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20957.csv,JHU cholera database entry with 8 observations. Frequency: Other (23). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-08-15,1,JHU
24,JHU Cholera Database (UID: 20536),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20536.csv,JHU cholera database entry with 1 observations. Frequency: Other (226). Updated: 2024-02-09,2011-01-01,2011-08-15,2,JHU
25,JHU Cholera Database (UID: 20561),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20561.csv,JHU cholera database entry with 1 observations. Frequency: Other (196). Updated: 2024-02-09,2012-01-01,2012-07-15,2,JHU
26,JHU Cholera Database (UID: 79),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection79.csv,JHU cholera database entry with 5 observations. Frequency: Other (19). Updated: 2024-04-24,2005-07-13,2005-09-19,2,JHU
27,JHU Cholera Database (UID: 21501),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21501.csv,JHU cholera database entry with 6 observations. Frequency: Other (163). Updated: 2025-07-25,2024-01-01,2024-11-24,2,JHU
28,WHO AFRO Surveillance Report (UID: 20950),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20950.csv,JHU cholera database entry with 4 observations. Frequency: Other (15). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-08-12,1,JHU
29,JHU Cholera Database (UID: 217),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection217.csv,JHU cholera database entry with 20 observations. Frequency: Other (15). Updated: 2024-05-13,2012-01-01,2012-11-04,2,JHU
30,JHU Cholera Database (UID: 84),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection84.csv,JHU cholera database entry with 140 observations. Frequency: Other (147). Updated: 2024-02-09,2004-01-01,2012-12-16,2,JHU
31,JHU Cholera Database (UID: 20383),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20383.csv,JHU cholera database entry with 8 observations. Frequency: Other (146). Updated: 2024-02-09,2014-01-01,2018-10-01,2,JHU
32,JHU Cholera Database (UID: 81),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection81.csv,JHU cholera database entry with 90 observations. Frequency: Other (123). Updated: 2024-04-24,2006-01-02,2006-12-03,2,JHU
33,JHU Cholera Database (UID: 961),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection961.csv,JHU cholera database entry with 1 observations. Frequency: Other (114). Updated: 2024-02-09,2010-05-01,2010-08-23,2,JHU
34,WHO AFRO Surveillance Report (UID: 20942),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20942.csv,JHU cholera database entry with 1 observations. Frequency: Other (11). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13,2018-07-24,1,JHU
35,WHO AFRO Surveillance Report (UID: 20968),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20968.csv,JHU cholera database entry with 10 observations. Frequency: Other (11). Updated: 2024-02-09 Source tags: WHOafro,2018-07-05,2018-08-28,1,JHU
