Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
2,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
3,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2025. Weekly reporting from WHO emergency surveillance dashboard. 19 weekly observations.,2024-12-30,2025-05-11,1,WHO
4,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
5,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
6,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2025. Weekly reporting from WHO emergency surveillance dashboard. 19 weekly observations.,2024-12-30,2025-05-11,1,WHO
7,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
8,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
9,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2025. Weekly reporting from WHO emergency surveillance dashboard. 53 weekly observations.,2024-12-30,2026-01-04,1,WHO
10,WHO Cholera Surveillance Dashboard (2026),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for NIGERIA in 2026. Weekly reporting from WHO emergency surveillance dashboard. 7 weekly observations.,2025-12-29,2026-02-15,1,WHO
