Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,UNICEF Country Programme Report (UID: 21440),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection21440.csv,"JHU cholera database entry with 4841 observations. Frequency: Weekly. Updated: 2025-08-06 Source tags: Unified
UNICEFcp",2018-01-01,2019-12-29,2,JHU
2,WHO AFRO Surveillance Report (UID: 20851),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection20851.csv,JHU cholera database entry with 3 observations. Frequency: Other (9). Updated: 2024-02-09 Source tags: WHOafro,2018-03-21,2018-03-30,1,JHU
3,UNICEF Country Programme Report (UID: 5106),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection5106.csv,JHU cholera database entry with 6413 observations. Frequency: Other (7). Updated: 2025-07-24 Source tags: UNICEFcp,2013-12-30,2024-09-29,2,JHU
4,JHU Cholera Database (UID: 811),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection811.csv,JHU cholera database entry with 3 observations. Frequency: Other (47). Updated: 2024-02-09,2012-12-01,2013-03-27,2,JHU
5,WHO AFRO Surveillance Report (UID: 20844),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection20844.csv,JHU cholera database entry with 3 observations. Frequency: Other (4). Updated: 2024-02-09 Source tags: WHOafro,2018-03-21,2018-03-25,1,JHU
6,JHU Cholera Database (UID: 813),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection813.csv,JHU cholera database entry with 31 observations. Frequency: Other (38). Updated: 2024-04-24,2012-11-01,2013-05-26,2,JHU
7,JHU Cholera Database (UID: 20413),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection20413.csv,JHU cholera database entry with 3 observations. Frequency: Other (36). Updated: 2024-02-09,2011-06-14,2011-07-20,2,JHU
8,JHU Cholera Database (UID: 21421),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection21421.csv,JHU cholera database entry with 1 observations. Frequency: Other (26). Updated: 2024-11-02,2023-07-17,2023-08-12,2,JHU
9,JHU Cholera Database (UID: 20538),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection20538.csv,JHU cholera database entry with 1 observations. Frequency: Other (248). Updated: 2024-02-09,2011-01-01,2011-09-06,2,JHU
10,WHO AFRO Surveillance Report (UID: 20863),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection20863.csv,JHU cholera database entry with 5 observations. Frequency: Other (20). Updated: 2024-02-09 Source tags: WHOafro,2018-03-15,2018-04-19,1,JHU
11,WHO AFRO Surveillance Report (UID: 20938),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection20938.csv,JHU cholera database entry with 3 observations. Frequency: Other (20). Updated: 2024-02-09 Source tags: WHOafro,2018-03-21,2018-04-10,1,JHU
12,JHU Cholera Database (UID: 806),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection806.csv,JHU cholera database entry with 11 observations. Frequency: Other (147). Updated: 2024-04-24,2012-11-01,2013-07-31,2,JHU
13,JHU Cholera Database (UID: 20785),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection20785.csv,JHU cholera database entry with 1 observations. Frequency: Other (141). Updated: 2024-02-09,2020-03-01,2020-07-20,2,JHU
14,JHU Cholera Database (UID: 213),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection213.csv,JHU cholera database entry with 33 observations. Frequency: Other (12). Updated: 2024-02-09,2012-01-23,2012-09-02,2,JHU
15,JHU Cholera Database (UID: 21489),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection21489.csv,JHU cholera database entry with 5 observations. Frequency: Other (103). Updated: 2025-07-11,2023-07-17,2024-07-14,2,JHU
16,WHO Annual Cholera Report (UID: 309),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Republic of the Congo/ObservationCollection309.csv,JHU cholera database entry with 24 observations. Frequency: Annual. Updated: 2025-10-02 Source tags: WHOannual,1978-01-01,2024-12-31,1,JHU
