country,national_observations,subnational_observations,total_observations,national_pct,subnational_pct,national_start,national_end,subnational_start,subnational_end,iso_code
Angola,468,300,768,60.9375,39.0625,1971-01-01,2026-03-08,1991-12-29,2025-07-31,AGO
Burundi,846,33999,34845,2.4278949634093845,97.57210503659061,1970-01-01,2026-03-22,1992-02-07,2024-04-21,BDI
Benin,1234,28667,29901,4.1269522758436175,95.87304772415638,1970-01-01,2024-03-31,2008-07-26,2022-12-31,BEN
Burkina Faso,1144,36884,38028,3.008309666561481,96.99169033343851,1970-01-01,2024-03-31,2005-08-13,2022-07-05,BFA
Botswana,36,2,38,94.73684210526315,5.263157894736842,2005-01-01,2023-12-31,2008-12-10,2008-12-16,BWA
Central African Republic,1052,33252,34304,3.06669776119403,96.93330223880598,1997-01-01,2024-03-31,2018-01-01,2019-12-29,CAF
Côte d'Ivoire,2012,8,2020,99.60396039603961,0.39603960396039606,1970-01-01,2024-03-31,2006-07-01,2012-08-08,CIV
Cameroon,1464,462886,464350,0.31527942284914395,99.68472057715086,1971-01-01,2024-11-24,2010-01-04,2023-01-05,CMR
Democratic Republic of Congo,5751,23516,29267,19.650117880206373,80.34988211979362,1978-01-01,2026-03-08,2010-12-14,2024-09-01,COD
Congo,5,4,9,55.55555555555556,44.44444444444444,2000-01-01,2024-12-31,2007-01-01,2023-07-29,COG
Eritrea,32,0,32,100.0,0.0,2005-01-01,2023-12-31,,,ERI
Ethiopia,787,235,1022,77.00587084148728,22.99412915851272,1970-01-01,2026-03-01,2008-01-14,2023-03-11,ETH
Gabon,36,0,36,100.0,0.0,1979-01-01,2021-12-31,,,GAB
Ghana,1160,238,1398,82.97567954220315,17.02432045779685,1970-01-01,2025-05-04,2010-10-23,2016-11-10,GHA
Guinea,978,8652,9630,10.15576323987539,89.8442367601246,1970-01-01,2024-09-29,2018-01-01,2019-12-29,GIN
Gambia,30,0,30,100.0,0.0,1985-01-01,2023-12-31,,,GMB
Guinea-Bissau,1008,14439,15447,6.5255389395999215,93.47446106040009,1986-01-01,2025-05-13,1994-10-01,2019-08-18,GNB
Equatorial Guinea,34,2,36,94.44444444444444,5.555555555555555,1984-01-01,2021-12-31,2005-02-01,2005-02-25,GNQ
Kenya,1185,933,2118,55.949008498583574,44.05099150141643,1971-01-01,2025-06-01,1994-01-01,2024-07-31,KEN
Liberia,1144,5946,7090,16.13540197461213,83.86459802538788,1970-01-01,2024-03-31,2005-05-10,2022-12-25,LBR
Mali,602,25722,26324,2.2868864914146787,97.71311350858532,1970-01-01,2023-12-31,2005-06-21,2019-12-29,MLI
Mozambique,1155,630,1785,64.70588235294117,35.294117647058826,1973-01-01,2026-03-15,2005-01-01,2024-01-28,MOZ
Mauritania,364,0,364,100.0,0.0,1971-01-01,2023-12-31,,,MRT
Malawi,546,12,558,97.84946236559139,2.1505376344086025,1975-01-01,2026-03-22,2009-05-01,2023-03-29,MWI
Namibia,62,14,76,81.57894736842105,18.421052631578945,2005-01-01,2026-03-01,2013-06-30,2018-01-31,NAM
Niger,1428,9672,11100,12.864864864864863,87.13513513513513,1970-01-01,2024-09-24,2004-01-01,2024-09-24,NER
Nigeria,2369,149446,151815,1.5604518657576656,98.43954813424234,1970-01-01,2026-02-15,2009-06-01,2024-03-24,NGA
Rwanda,3,2,5,60.0,40.0,2010-06-01,2025-04-04,1998-05-01,2006-01-05,RWA
Senegal,15,10,25,60.0,40.0,2000-01-01,2025-12-31,1981-01-01,2007-12-31,SEN
Sierra Leone,648,117250,117898,0.5496276442348471,99.45037235576515,1970-01-01,2024-03-24,2006-01-01,2019-03-10,SLE
Somalia,681,1475,2156,31.586270871985157,68.41372912801485,1985-04-01,2026-01-11,1970-01-01,2024-12-31,SOM
South Sudan,1716,560,2276,75.39543057996485,24.604569420035148,2006-01-28,2026-03-15,2007-01-01,2024-11-05,SSD
Eswatini,5,0,5,100.0,0.0,1978-01-01,2023-08-31,,,SWZ
Chad,818,8718,9536,8.578020134228188,91.4219798657718,1971-01-01,2023-12-31,2006-04-01,2019-11-17,TCD
Togo,1232,8292,9524,12.935741285174295,87.0642587148257,1970-01-01,2025-03-09,2013-08-30,2019-12-29,TGO
Tanzania,2223,2262,4485,49.56521739130435,50.43478260869565,1974-01-01,2026-01-18,2006-01-01,2023-12-31,TZA
Uganda,548,16912,17460,3.138602520045819,96.86139747995418,1971-01-01,2025-03-30,2002-08-01,2024-05-31,UGA
South Africa,160,362,522,30.65134099616858,69.34865900383141,1973-01-01,2024-11-24,2000-08-01,2024-04-04,ZAF
Zambia,1010,3396,4406,22.92328642759873,77.07671357240127,1977-01-01,2026-03-22,1990-11-04,2024-02-25,ZMB
Zimbabwe,1435,1266,2701,53.12847093669012,46.871529063309886,1973-01-01,2026-03-08,1999-01-01,2024-11-24,ZWE
