Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 20360),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection20360.csv,JHU cholera database entry with 504 observations. Frequency: Weekly. Updated: 2024-05-15,2017-11-20,2018-07-29,2,JHU
2,JHU Cholera Database (UID: 21438),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection21438.csv,JHU cholera database entry with 468 observations. Frequency: Weekly. Updated: 2025-08-06 Source tags: Unified,2017-11-20,2018-07-29,2,JHU
3,WHO AFRO Surveillance Report (UID: 20881),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection20881.csv,JHU cholera database entry with 2 observations. Frequency: Other (83). Updated: 2024-02-09 Source tags: WHOafro,2017-11-20,2018-04-29,1,JHU
4,WHO AFRO Surveillance Report (UID: 20695),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection20695.csv,JHU cholera database entry with 1 observations. Frequency: Other (83). Updated: 2024-02-09 Source tags: WHOafro,2017-07-24,2017-10-15,1,JHU
5,WHO AFRO Surveillance Report (UID: 20453),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection20453.csv,JHU cholera database entry with 4 observations. Frequency: Other (8). Updated: 2024-02-09 Source tags: WHOafro,2017-03-11,2017-03-24,1,JHU
6,WHO AFRO Surveillance Report (UID: 20769),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection20769.csv,JHU cholera database entry with 3 observations. Frequency: Other (75). Updated: 2024-02-09 Source tags: WHOafro,2017-08-01,2018-01-07,1,JHU
7,JHU Cholera Database (UID: 21479),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection21479.csv,JHU cholera database entry with 58 observations. Frequency: Other (744). Updated: 2025-11-06,2022-03-01,2024-07-31,2,JHU
8,JHU Cholera Database (UID: 15690),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection15690.csv,JHU cholera database entry with 82 observations. Frequency: Other (7). Updated: 2024-02-09,1988-03-15,1988-05-17,2,JHU
9,WHO AFRO Surveillance Report (UID: 20823),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection20823.csv,JHU cholera database entry with 22 observations. Frequency: Other (68). Updated: 2024-02-09 Source tags: WHOafro,2017-02-12,2018-03-05,1,JHU
10,JHU Cholera Database (UID: 21230),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Malawi/ObservationCollection21230.csv,JHU cholera database entry with 13 observations. Frequency: Other (6397). Updated: 2024-02-09,2001-01-01,2018-07-08,2,JHU
