Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 58),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Gambia/ObservationCollection58.csv,JHU cholera database entry with 2 observations. Frequency: Other (12). Updated: 2024-02-09,2005-09-18,2005-10-14,2,JHU
2,JHU Cholera Database (UID: 21392),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Gambia/ObservationCollection21392.csv,JHU cholera database entry with 1 observations. Frequency: Annual. Updated: 2024-02-09,2021-01-01,2021-12-31,2,JHU
3,WHO Annual Cholera Report (UID: 318),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Gambia/ObservationCollection318.csv,JHU cholera database entry with 15 observations. Frequency: Annual. Updated: 2025-10-02 Source tags: WHOannual,1985-01-01,2024-12-31,1,JHU
