Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,UNICEF Country Programme Report (UID: 5102),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burkina Faso/ObservationCollection5102.csv,JHU cholera database entry with 10464 observations. Frequency: Weekly. Updated: 2025-07-24 Source tags: UNICEFcp,2013-12-30,2024-09-29,2,JHU
2,UNICEF Country Programme Report (UID: 21448),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burkina Faso/ObservationCollection21448.csv,"JHU cholera database entry with 8549 observations. Frequency: Weekly. Updated: 2025-08-06 Source tags: Unified
UNICEFcp",2018-01-01,2019-12-29,2,JHU
3,JHU Cholera Database (UID: 21394),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burkina Faso/ObservationCollection21394.csv,JHU cholera database entry with 1 observations. Frequency: Other (91). Updated: 2024-02-09,2021-07-01,2021-09-30,2,JHU
4,JHU Cholera Database (UID: 884),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burkina Faso/ObservationCollection884.csv,JHU cholera database entry with 4 observations. Frequency: Other (3). Updated: 2024-02-09,2005-08-13,2005-08-22,2,JHU
5,JHU Cholera Database (UID: 20596),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burkina Faso/ObservationCollection20596.csv,JHU cholera database entry with 1 observations. Frequency: Other (27). Updated: 2024-02-09,2005-09-12,2005-10-09,2,JHU
6,JHU Cholera Database (UID: 21393),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burkina Faso/ObservationCollection21393.csv,JHU cholera database entry with 3 observations. Frequency: Other (2). Updated: 2024-02-09,2022-07-03,2022-07-05,2,JHU
7,WHO Annual Cholera Report (UID: 303),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burkina Faso/ObservationCollection303.csv,JHU cholera database entry with 30 observations. Frequency: Annual. Updated: 2025-10-02 Source tags: WHOannual,1970-01-01,2024-12-31,1,JHU
