Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 21397),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection21397.csv,JHU cholera database entry with 1135 observations. Frequency: Weekly. Updated: 2024-02-09,2021-01-11,2022-12-25,2,JHU
2,UNICEF Country Programme Report (UID: 21442),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection21442.csv,"JHU cholera database entry with 951 observations. Frequency: Weekly. Updated: 2025-08-06 Source tags: Unified
UNICEFcp",2018-01-01,2019-12-15,2,JHU
3,JHU Cholera Database (UID: 12643),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection12643.csv,JHU cholera database entry with 1 observations. Frequency: Other (91). Updated: 2024-05-11,2003-06-01,2003-08-31,2,JHU
4,UNICEF Country Programme Report (UID: 5112),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection5112.csv,JHU cholera database entry with 1436 observations. Frequency: Other (9). Updated: 2025-07-24 Source tags: UNICEFcp,2013-12-30,2024-09-29,2,JHU
5,JHU Cholera Database (UID: 12653),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection12653.csv,JHU cholera database entry with 1 observations. Frequency: Other (37). Updated: 2024-05-11,2003-07-01,2003-08-07,2,JHU
6,JHU Cholera Database (UID: 59),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection59.csv,JHU cholera database entry with 3 observations. Frequency: Other (37). Updated: 2024-02-09,2007-12-05,2008-01-11,2,JHU
7,JHU Cholera Database (UID: 916),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection916.csv,JHU cholera database entry with 1 observations. Frequency: Other (25). Updated: 2024-02-09,2007-03-01,2007-03-26,2,JHU
8,JHU Cholera Database (UID: 913),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection913.csv,JHU cholera database entry with 3 observations. Frequency: Other (22). Updated: 2024-02-09,2005-05-10,2005-07-06,2,JHU
9,JHU Cholera Database (UID: 914),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection914.csv,JHU cholera database entry with 4 observations. Frequency: Other (22). Updated: 2024-02-09,2006-08-01,2006-08-23,2,JHU
10,JHU Cholera Database (UID: 915),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection915.csv,JHU cholera database entry with 2 observations. Frequency: Other (18). Updated: 2024-02-09,2005-07-11,2005-08-18,2,JHU
11,WHO Annual Cholera Report (UID: 322),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection322.csv,JHU cholera database entry with 60 observations. Frequency: Annual. Updated: 2025-10-02 Source tags: WHOannual,1970-01-01,2024-12-31,1,JHU
