Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 20566),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20566.csv,JHU cholera database entry with 2 observations. Frequency: Weekly. Updated: 2024-02-09,2011-01-18,2011-01-25,2,JHU
2,WHO AFRO Surveillance Report (UID: 20705),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20705.csv,JHU cholera database entry with 32 observations. Frequency: Weekly. Updated: 2024-02-09 Source tags: WHOafro,2017-10-04,2017-10-28,1,JHU
3,JHU Cholera Database (UID: 21241),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21241.csv,JHU cholera database entry with 14 observations. Frequency: Weekly. Updated: 2024-02-09,2012-07-29,2012-11-03,2,JHU
4,JHU Cholera Database (UID: 21395),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21395.csv,JHU cholera database entry with 3 observations. Frequency: Weekly. Updated: 2024-02-09,2022-12-12,2023-01-01,2,JHU
5,WHO AFRO Surveillance Report (UID: 20774),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20774.csv,JHU cholera database entry with 33 observations. Frequency: Other (90). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04,2018-01-08,1,JHU
6,JHU Cholera Database (UID: 12060),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection12060.csv,JHU cholera database entry with 1 observations. Frequency: Other (87). Updated: 2024-02-09,2003-11-28,2004-02-23,2,JHU
7,WHO AFRO Surveillance Report (UID: 20833),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20833.csv,JHU cholera database entry with 5 observations. Frequency: Other (68). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04,2018-03-15,1,JHU
8,WHO AFRO Surveillance Report (UID: 20770),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20770.csv,JHU cholera database entry with 10 observations. Frequency: Other (67). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04,2017-12-26,1,JHU
9,JHU Cholera Database (UID: 20521),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20521.csv,JHU cholera database entry with 1 observations. Frequency: Other (65). Updated: 2024-02-09,2012-09-01,2012-11-05,2,JHU
10,WHO AFRO Surveillance Report (UID: 20818),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20818.csv,JHU cholera database entry with 5 observations. Frequency: Other (62). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04,2018-02-27,1,JHU
11,WHO AFRO Surveillance Report (UID: 20826),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20826.csv,JHU cholera database entry with 5 observations. Frequency: Other (62). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04,2018-03-01,1,JHU
12,JHU Cholera Database (UID: 21239),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21239.csv,JHU cholera database entry with 1 observations. Frequency: Other (62). Updated: 2024-02-09,2012-12-01,2013-02-01,2,JHU
13,WHO AFRO Surveillance Report (UID: 20762),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20762.csv,JHU cholera database entry with 9 observations. Frequency: Other (59). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04,2017-12-19,1,JHU
14,WHO AFRO Surveillance Report (UID: 21234),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21234.csv,JHU cholera database entry with 2 observations. Frequency: Other (58). Updated: 2024-02-09 Source tags: WHOafro,2019-04-03,2019-05-31,1,JHU
