Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 21495),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Swaziland/ObservationCollection21495.csv,JHU cholera database entry with 1 observations. Frequency: Other (92). Updated: 2024-12-22,2024-01-01,2024-04-02,2,JHU
2,JHU Cholera Database (UID: 21232),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Swaziland/ObservationCollection21232.csv,JHU cholera database entry with 1 observations. Frequency: Other (91). Updated: 2024-02-10,2017-07-01,2017-09-30,2,JHU
3,JHU Cholera Database (UID: 21496),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Swaziland/ObservationCollection21496.csv,JHU cholera database entry with 2 observations. Frequency: Other (60). Updated: 2024-12-23,2023-03-01,2023-04-30,2,JHU
4,JHU Cholera Database (UID: 21409),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Swaziland/ObservationCollection21409.csv,JHU cholera database entry with 2 observations. Frequency: Other (193). Updated: 2024-12-22,2023-01-01,2023-12-31,2,JHU
5,WHO Annual Cholera Report (UID: 337),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Swaziland/ObservationCollection337.csv,JHU cholera database entry with 30 observations. Frequency: Annual. Updated: 2025-10-02 Source tags: WHOannual,1978-01-01,2024-12-31,1,JHU
