Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
2,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
3,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2025. Weekly reporting from WHO emergency surveillance dashboard. 21 weekly observations.,2024-12-30,2025-05-25,1,WHO
4,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
5,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
6,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2025. Weekly reporting from WHO emergency surveillance dashboard. 21 weekly observations.,2024-12-30,2025-05-25,1,WHO
7,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
8,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
9,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2025. Weekly reporting from WHO emergency surveillance dashboard. 53 weekly observations.,2024-12-30,2026-01-04,1,WHO
10,WHO Cholera Surveillance Dashboard (2026),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2026. Weekly reporting from WHO emergency surveillance dashboard. 12 weekly observations.,2025-12-29,2026-03-22,1,WHO
11,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
12,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
13,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2025. Weekly reporting from WHO emergency surveillance dashboard. 53 weekly observations.,2024-12-30,2026-01-04,1,WHO
14,WHO Cholera Surveillance Dashboard (2026),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2026. Weekly reporting from WHO emergency surveillance dashboard. 15 weekly observations.,2025-12-29,2026-04-12,1,WHO
15,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2023. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2023-01-02,2023-12-31,1,WHO
16,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
17,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2025. Weekly reporting from WHO emergency surveillance dashboard. 53 weekly observations.,2024-12-30,2026-01-04,1,WHO
18,WHO Cholera Surveillance Dashboard (2026),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for BURUNDI in 2026. Weekly reporting from WHO emergency surveillance dashboard. 15 weekly observations.,2025-12-29,2026-04-12,1,WHO
